No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
145,够,gòu,to reach; to be enough,十分な,时间够用吗？,時間は足りますか？,Is there enough time?,我觉得你说得不够清楚，需要再解释一下。,あなたの話は十分ではないと思います。もう少し説明が必要です。
146,购物,gòu wù,shopping,買い物,我喜欢购物。,私は買い物が好きです。,I like shopping.,周末我喜欢去商场购物，买一些生活必需品。,週末はショッピングモールに買い物に行くのが好きで、生活必需品をいくつか買います。
147,估计,gū jì,to estimate; to reckon; CL:个,見積もる,我估计他会迟到。,私は彼が遅刻するだろうと見込んでいます。,I estimate he will be late.,根据天气预报，明天估计会下雨，记得带伞。,天気予報によると、明日は雨が降ると予想されるので、傘を忘れないでください。
148,鼓励,gǔ lì,to encourage,励ます,老师鼓励学生努力。,先生は生徒たちに努力を励まします。,The teacher encourages students to work hard.,老师鼓励我们多读书，提高自己的汉语水平。,先生は私たちにもっと本を読むよう励まし、中国語のレベルを上げるように言います。
149,故意,gù yì,deliberately; on purpose,故意に,他故意迟到了。,彼はわざと遅刻しました。,He was deliberately late.,他不是故意迟到的，是路上遇到了交通堵塞。,彼は遅刻したのは故意ではなく、途中で交通渋滞に遭ったのです。
150,顾客,gù kè,client; customer; CL:位[wei4],顧客,顾客对服务很满意。,お客さんはサービスにとても満足しています。,Customers are very satisfied with the service.,这家店的顾客非常多，服务员都很忙碌。,この店の客はとても多く、店員はみんな忙しそうです。
151,挂,guà,to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects,掛ける,请把电话挂了。,電話を切ってください。,Please hang up the phone.,请你把衣服挂在衣柜里，不要乱放。,服をクローゼットに掛けてください、乱雑に置かないで。
152,关键,guān jiàn,crucial point; crux; CL:个; key; crucial; pivotal,鍵,这件事很关键。,この件はとても重要です。,This matter is very crucial.,这个问题的关键在于我们是否理解了要求。,この問題の鍵は私たちが要求を理解しているかどうかにあります。
153,观众,guān zhòng,spectators; audience; visitors (to an exhibition etc),観客,观众很热情。,観客はとても熱心です。,The audience is very enthusiastic.,观众们都很期待今晚的音乐会开始。,観客たちはみんな今夜のコンサートの開始を楽しみにしています。
154,管理,guǎn lǐ,to supervise; to manage; to administer; management; administration; CL:个,管理,他负责管理公司。,彼は会社の管理を担当しています。,He is responsible for managing the company.,公司需要专门的人来管理日常事务。,会社は日常業務を管理する専門の人が必要です。
155,光,guāng,light (ray); light; ray; CL:道[dao4]; bright; only; merely; to use up,光,房间里没有光。,部屋の中に光がありません。,There is no light in the room.,阳光透过窗户照进了房间，非常温暖。,日光が窓から部屋に差し込み、とても暖かいです。
156,广播,guǎng bō,broadcast; widely spread; CL:个,放送,广播马上开始。,放送はすぐに始まります。,The broadcast will start soon.,我们每天早上都会收听新闻广播。,私たちは毎朝ニュースのラジオ放送を聴きます。
157,广告,guǎng gào,to advertise; a commercial; advertisement; CL:项[xiang4],広告,这则广告很有趣。,この広告はとても面白いです。,This advertisement is very interesting.,这家公司的广告在电视上很常见。,この会社の広告はテレビでよく見かけます。
158,逛,guàng,to stroll; to visit,散歩する,我们一起去逛街。,私たちは一緒に買い物に行きます。,We go shopping together.,周末我喜欢和朋友一起去商场逛街。,週末は友達と一緒にショッピングモールをぶらぶらするのが好きです。
159,规定,guī dìng,to stipulate; to fix; to set; to formulate; to provide; regulation; rule; CL:个,規定,请遵守学校规定。,学校の規則を守ってください。,Please follow the school rules.,学校规定学生必须按时完成作业。,学校は学生が宿題を時間通りに終えることを規定しています。
160,国籍,guó jí,nationality,国籍,他的国籍是中国。,彼の国籍は中国です。,His nationality is Chinese.,他的国籍是中国，但他在美国工作。,彼の国籍は中国ですが、アメリカで働いています。
161,国际,guó jì,international,国際,国际会议很重要。,国際会議はとても重要です。,The international conference is very important.,国际会议将在下个月在北京举行。,国際会議は来月北京で開催されます。
162,果汁,guǒ zhī,fruit juice,果汁,我喜欢喝果汁。,私は果汁を飲むのが好きです。,I like to drink fruit juice.,我每天早上都会喝一杯新鲜的果汁。,私は毎朝新鮮なジュースを一杯飲みます。
163,过程,guò chéng,course of events; process; CL:个,過程,学习是一个过程。,学習は一つの過程です。,Learning is a process.,学习一门语言是一个漫长的过程。,一つの言語を学ぶことは長い過程です。
164,海洋,hǎi yáng,ocean; CL:个,海洋,海洋很美丽。,海はとても美しいです。,The ocean is very beautiful.,海洋里有很多种类的鱼类和植物。,海には多くの種類の魚や植物がいます。
165,害羞,hài xiū,blush; shy,恥ずかしい,他很害羞不说话。,彼はとても恥ずかしがり屋で話しません。,He is very shy and does not speak.,她在公共场合有点害羞，不喜欢说话。,彼女は公の場で少し恥ずかしがりで、話すのが好きではありません。
166,寒假,hán jià,winter vacation,冬休み,寒假我去旅行。,冬休みに旅行に行きます。,I will travel during the winter vacation.,寒假期间，我计划去北方旅游几天。,冬休みの間、私は北の方へ数日旅行する予定です。
167,汗,hàn,"perspiration; sweat; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); CL:滴[di1] ,头[tou2] ,身[shen1]",汗,运动后全身是汗。,運動の後、全身が汗だくです。,"After exercising, my whole body is covered in sweat.",运动后，我全身都是汗，非常累。,運動後、全身が汗でいっぱいで、とても疲れました。
168,航班,háng bān,scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship,便,航班准时起飞。,フライトは定刻に離陸しました。,The flight took off on time.,航班因为天气原因被迫延误了两个小时。,天気の理由でフライトは2時間遅れました。
169,好处,hǎo chu,benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:个,利点,锻炼身体有好处。,体を鍛えることには良い効果があります。,Exercising has benefits for the body.,坚持锻炼的好处是身体越来越健康。,運動を続けることの良い点は体がどんどん健康になることです。
170,好像,hǎo xiàng,as if; to seem like,〜のようだ,他好像很累。,彼はとても疲れているようです。,He seems very tired.,他好像很忙，没时间参加我们的活动。,彼は忙しいようで、私たちの活動に参加する時間がありません。
171,号码,hào mǎ,"number; CL:堆[dui1] ,个",番号,请告诉我电话号码。,電話番号を教えてください。,Please tell me the phone number.,请告诉我你的电话号码，我方便联系你。,あなたの電話番号を教えてください、連絡しやすいので。
172,合格,hé gé,qualified; meeting a standard; eligible (voter),合格,考试终于合格了。,試験にやっと合格しました。,I finally passed the exam.,考试合格后，你就能拿到毕业证书了。,試験に合格したら、卒業証書をもらえます。
173,合适,hé shì,suitable; fitting; decent; to fit,適切な,这件衣服很合适。,この服はとても似合っています。,This piece of clothing fits very well.,这件衣服很合适你，颜色也很漂亮。,この服はあなたにとても合っていて、色もきれいです。
174,盒子,hé zi,box,箱,盒子里有礼物。,箱の中にプレゼントがあります。,There is a gift inside the box.,生日礼物都放在那个漂亮的盒子里了。,誕生日プレゼントは全部あのきれいな箱に入っています。
175,厚,hòu,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress,厚い,这本书很厚。,この本はとても厚いです。,This book is very thick.,这本书很厚，可能需要几天才能读完。,この本は厚くて、読み終わるのに数日かかるかもしれません。
176,后悔,hòu huǐ,to regret; to repent,後悔する,我不后悔选择。,選択を後悔していません。,I do not regret my choice.,我后悔没有早点学习汉语，现在很难补上。,私はもっと早く中国語を勉強しなかったことを後悔していて、今は追いつくのが難しいです。
177,互联网,hù lián wǎng,the Internet,インターネット,互联网改变生活。,インターネットは生活を変えました。,The internet has changed life.,通过互联网，我们可以方便地获取各种信息。,インターネットを通じて、私たちは様々な情報を便利に得ることができます。
178,互相,hù xiāng,each other; mutually; mutual,お互いに,我们互相帮助。,私たちはお互いに助け合います。,We help each other.,我们应该互相帮助，共同解决问题。,私たちはお互いに助け合い、問題を一緒に解決すべきです。
179,护士,hù shi,nurse; CL:个,看護師,护士很细心。,看護師はとても細やかです。,The nurse is very attentive.,护士每天都认真照顾病人的健康。,看護師は毎日熱心に患者の健康を世話しています。
180,怀疑,huái yí,to suspect; to doubt; doubt; suspicion; skeptical,疑う,我怀疑他说谎。,私は彼が嘘をついていると疑っています。,I suspect that he is lying.,我怀疑这件事的真相可能不是我们想的那样。,私はこのことの真相は私たちが思っているのとは違うのではないかと疑っています。
181,回忆,huí yì,to recall; recollection; CL:个,思い出,回忆让我开心。,思い出が私を幸せにします。,Memories make me happy.,小时候的回忆总是让我感到温暖和快乐。,子供の頃の思い出はいつも私を温かく楽しい気持ちにさせます。
182,活动,huó dòng,"to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:项[xiang4] ,个",活動,学校有很多活动。,学校にはたくさんの活動があります。,The school has many activities.,学校组织了很多有趣的活动让学生参加。,学校は学生が参加できるたくさんの楽しい活動を企画しました。
183,活泼,huó po,lively; vivacious; brisk; active,活発な,孩子们很活泼。,子供たちはとても元気です。,The children are very lively.,小明是个活泼的孩子，大家都喜欢和他玩。,小明は元気な子供で、みんな彼と遊ぶのが好きです。
184,火,huǒ,fire; CL:把[ba3],火,火很快被扑灭。,火はすぐに消されました。,The fire was quickly extinguished.,野外生火时一定要注意安全，防止火灾。,野外で火を使うときは必ず安全に注意して、火事を防いでください。
185,获得,huò dé,to obtain; to receive; to get,得る,他获得了奖学金。,彼は奨学金を獲得しました。,He received a scholarship.,通过努力学习，他终于获得了奖学金。,努力して勉強したことで、彼はついに奨学金を獲得しました。
186,基础,jī chǔ,base; foundation; basis; underlying; CL:个,基礎,基础很重要。,基礎はとても重要です。,The foundation is very important.,学习汉语的基础是掌握拼音和常用词汇。,中国語学習の基礎はピンインとよく使う語彙をマスターすることです。
187,激动,jī dòng,to excite; to agitate; exciting,感動する,听到消息很激动。,知らせを聞いてとても興奮しました。,I was very excited to hear the news.,听到好消息后，他的心情非常激动。,良い知らせを聞いて、彼はとても感激しました。
188,积极,jī jí,active; energetic; vigorous; positive (outlook); proactive,積極的な,她态度很积极。,彼女の態度はとても積極的です。,Her attitude is very positive.,她对工作非常积极，总是主动完成任务。,彼女は仕事にとても積極的で、いつも自主的に仕事を終えます。
189,积累,jī lěi,to accumulate; accumulation; cumulative; cumulatively,蓄積する,他积累了很多经验。,彼は多くの経験を積みました。,He has accumulated a lot of experience.,只有不断积累经验，才能提高自己的能力。,経験を絶えず積み重ねることでしか、自分の能力を高めることはできません。
190,即使,jí shǐ,even if; even though; given that,たとえ〜でも,即使下雨也去。,たとえ雨が降っても行きます。,I will go even if it rains.,即使下雨，我们也要按计划去爬山。,たとえ雨が降っても、私たちは計画通り山登りに行きます。
191,及时,jí shí,in time; promptly; without delay; timely,タイムリーな,及时完成任务。,時間内に任務を完了してください。,Complete the task on time.,遇到问题时，要及时向老师请教。,問題に遭ったときは、すぐに先生に質問してください。
192,寄,jì,to live (in a house); to lodge; to mail; to send; to entrust; to depend,送る,我寄了一封信。,私は手紙を一通送りました。,I sent a letter.,我打算寄一封信给远方的朋友。,私は遠くの友達に手紙を送るつもりです。
193,技术,jì shù,"technology; technique; skill; CL:门[men2] ,种[zhong3] ,项[xiang4]",技術,他的技术很好。,彼の技術はとても優れています。,His skills are very good.,现代技术使我们的生活变得更加方便。,現代の技術は私たちの生活をより便利にしました。
194,既然,jì rán,since; as; this being the case,〜なので,既然来了就坐下。,来たからには座ってください。,"Since you are here, please sit down.",既然你已经决定了，我支持你的选择。,あなたがもう決めたのなら、私はあなたの選択を支持します。
195,继续,jì xù,to continue; to proceed with; to go on with,続ける,我们继续学习吧。,私たちは勉強を続けましょう。,Let's continue studying.,请继续努力，你一定会取得好成绩。,どうぞ努力を続けてください、きっと良い成績を取れます。
196,计划,jì huà,"plan; project; program; to plan; to map out; CL:个,项[xiang4]",計画,我有一个计划。,私は一つの計画があります。,I have a plan.,我们已经制定了详细的计划，希望顺利完成。,私たちは詳細な計画を立てて、順調に完成することを望んでいます。
197,记者,jì zhě,reporter; journalist; CL:个,記者,记者在采访他。,記者が彼にインタビューしています。,The reporter is interviewing him.,记者采访了很多专家，写了一篇报道。,記者は多くの専門家にインタビューし、記事を書きました。
198,加班,jiā bān,to work overtime,残業する,今天我要加班。,今日は残業します。,I will work overtime today.,最近工作很忙，经常需要加班到很晚。,最近仕事が忙しく、よく遅くまで残業しています。
199,加油站,jiā yóu zhàn,gas station,ガソリンスタンド,加油站很远。,ガソリンスタンドは遠いです。,The gas station is far away.,汽车快没油了，我们去附近的加油站加油吧。,車のガソリンがもう少ないので、近くのガソリンスタンドで給油しましょう。
200,家具,jiā jù,"furniture; CL:件[jian4] ,套[tao4]",家具,新家具很漂亮。,新しい家具はとても綺麗です。,The new furniture is very beautiful.,新买的家具摆放在客厅，看起来很漂亮。,新しく買った家具はリビングに置いてあり、とてもきれいに見えます。
201,假,jiǎ,fake; false; artificial; to borrow; if; suppose,偽物,这是假钱，不能用。,これは偽札で、使えません。,This is counterfeit money and cannot be used.,这件衣服是假货，买的时候一定要小心。,この服は偽物です。買うときは必ず注意してください。
202,价格,jià gé,price; CL:个,価格,这个东西价格很贵。,この物の値段はとても高いです。,This item is very expensive.,这个手机的价格比我预想的要贵很多。,このスマートフォンの価格は私が予想していたよりずっと高いです。
203,坚持,jiān chí,to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere,坚持,他每天坚持跑步。,彼は毎日ランニングを続けています。,He insists on running every day.,无论遇到什么困难，我们都应该坚持下去。,どんな困難に直面しても、私たちはあきらめずに続けるべきです。
204,减肥,jiǎn féi,to lose weight,ダイエット,她想通过运动减肥。,彼女は運動でダイエットしたいと思っています。,She wants to lose weight through exercise.,她每天运动一个小时，想通过减肥变得更健康。,彼女は毎日1時間運動して、ダイエットでより健康になりたいと思っています。
205,减少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower,減少,公司减少了开支。,会社は支出を減らしました。,The company reduced expenses.,为了保护环境，我们需要减少使用塑料袋。,環境を守るために、私たちはビニール袋の使用を減らす必要があります。
206,建议,jiàn yì,"to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:个,点[dian3]",提案,我有一个建议给你。,あなたに提案があります。,I have a suggestion for you.,老师建议我们多读书，提高自己的汉语水平。,先生は私たちにもっと本を読み、中国語のレベルを上げるように勧めました。
207,将来,jiāng lái,in the future; future; the future; CL:个,将来,你将来想做什么？,将来何をしたいですか？,What do you want to do in the future?,将来我想成为一名医生，帮助更多的人。,将来、私は医者になって、より多くの人を助けたいです。
208,奖金,jiǎng jīn,award money; premium; a bonus,ボーナス,他得到了奖金奖励。,彼はボーナスをもらいました。,He received a bonus reward.,公司发给表现好的员工一笔奖金作为奖励。,会社は成績が良い社員に報奨としてボーナスを支給します。
209,降低,jiàng dī,to reduce; to lower; to bring down,低下する,为了安全降低速度。,安全のために速度を落としてください。,Reduce speed for safety.,为了节约能源，我们应该降低空调的温度。,エネルギーを節約するために、私たちはエアコンの温度を下げるべきです。
210,降落,jiàng luò,to descend; to land,着陸,飞机马上要降落。,飛行機はまもなく着陸します。,The plane is about to land.,飞机已经开始降落，请大家系好安全带。,飛行機はすでに着陸を始めましたので、皆さんシートベルトをお締めください。
211,交,jiāo,to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines),渡す,请把书交给老师。,本を先生に渡してください。,Please hand the book to the teacher.,我明天要交一份重要的报告给经理。,私は明日、マネージャーに重要な報告書を提出しなければなりません。
212,交流,jiāo liú,exchange; give-and-take; to exchange; to alternate; communication; alternating current (electricity),交流,我们需要多交流想法。,私たちはもっと意見交換が必要です。,We need to communicate ideas more.,通过交流，我们可以更好地理解不同的文化。,交流を通じて、私たちは異なる文化をよりよく理解できます。
213,交通,jiāo tōng,traffic; communications; liaison; to be connected,交通,这里交通非常方便。,ここは交通がとても便利です。,The transportation here is very convenient.,早上交通很拥堵，建议大家提前出门。,朝の交通はとても混雑しているので、皆さん早めに出かけることをおすすめします。
214,郊区,jiāo qū,suburban district; outskirts; suburbs; CL:个,郊外,他们住在郊区房子。,彼らは郊外の家に住んでいます。,They live in a house in the suburbs.,他们住在城市的郊区，环境非常安静。,彼らは都市の郊外に住んでいて、とても静かな環境です。
215,骄傲,jiāo ào,arrogant; full of oneself; conceited; proud of sth; CL:个,誇り,他为自己感到骄傲。,彼は自分自身を誇りに思っています。,He feels proud of himself.,她因为取得好成绩而感到非常骄傲。,彼女は良い成績を取ったことでとても誇りに思っています。
216,饺子,jiǎo zi,"dumpling; pot-sticker; CL:个,只[zhi1]",餃子,妈妈做了很多饺子。,お母さんはたくさんの餃子を作りました。,Mom made a lot of dumplings.,春节的时候，我们一家人一起包饺子庆祝。,春節の時、私たちは家族みんなで餃子を包んでお祝いします。
217,教授,jiào shòu,"professor; to instruct; to lecture on; CL:个,位[wei4]",教授,教授今天不上课。,教授は今日は授業がありません。,The professor is not teaching today.,这位教授在大学里教了很多年汉语。,この教授は大学で何年も中国語を教えています。
218,教育,jiào yù,to educate; to teach; education,教育,教育对孩子很重要。,教育は子供にとってとても重要です。,Education is very important for children.,教育对孩子的未来发展非常重要。,教育は子どもの将来の発展にとても重要です。
219,接受,jiē shòu,to accept; to receive,受け入れる,他接受了这个邀请。,彼はこの招待を受け入れました。,He accepted this invitation.,他愿意接受新的挑战，不怕困难。,彼は新しい挑戦を受け入れる意志があり、困難を恐れません。
220,接着,jiē zhe,to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn,続けて,接着他说了一个故事。,続けて彼は一つの話をしました。,Then he told a story.,老师讲完课后，接着让我们做练习题。,先生が授業を終えた後、続けて練習問題をさせました。
221,结果,jié guǒ,result; outcome; effect; in the event; so that,結果,考试结果很满意。,試験の結果に満足しています。,I am satisfied with the exam results.,经过努力，他的考试结果非常理想。,努力の結果、彼の試験の成績は非常に良かったです。
222,节,jié,"festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:个",節,每节课都有作业。,毎授業に宿題があります。,There is homework for every class.,我们每节课都会学习新的汉字和语法。,私たちは毎授業、新しい漢字と文法を学びます。
223,节约,jié yuē,to economize; to conserve (resources); economy; frugal,節約,我们应该节约用水。,私たちは水を節約すべきです。,We should save water.,节约用水是每个人的责任。,水を節約することは、すべての人の責任です。
224,解释,jiě shì,explanation; to explain; to interpret; to resolve; CL:个,説明する,老师解释了新语法。,先生は新しい文法を説明しました。,The teacher explained the new grammar.,请你解释一下这个词的意思好吗？,この単語の意味を説明してもらえますか？
225,尽管,jǐn guǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating",〜にもかかわらず,尽管下雨，我们去了。,雨が降っていたにもかかわらず、私たちは行きました。,"Although it was raining, we went.",尽管天气不好，我们还是决定去爬山。,天気が悪いにもかかわらず、私たちはそれでも山登りに行くことにしました。
226,紧张,jǐn zhāng,nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:阵[zhen4],緊張,考试前他很紧张。,試験の前に彼はとても緊張していました。,He was very nervous before the exam.,考试前我感到紧张，但也很期待结果。,試験の前は緊張しましたが、結果も楽しみにしていました。
227,禁止,jìn zhǐ,to prohibit; to forbid; to ban,禁止する,这里禁止吸烟。,ここは禁煙です。,Smoking is prohibited here.,这里禁止吸烟，请大家遵守规定。,ここは禁煙です。みなさん規則を守ってください。
228,进行,jìn xíng,to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute,行う,会议正在进行中。,会議は進行中です。,The meeting is in progress.,学校正在进行一项重要的科学研究。,学校では重要な科学研究が進められています。
229,京剧,jīng jù,"Beijing opera; CL:场[chang3] ,出[chu1]",京劇,我喜欢看京剧表演。,私は京劇の公演を見るのが好きです。,I like watching Peking opera performances.,京剧是中国传统的戏曲艺术，非常有特色。,京劇は中国の伝統的なオペラ芸術で、とても特徴があります。
230,精彩,jīng cǎi,splendid; brilliant,素晴らしい,他的表演非常精彩。,彼の演技はとても素晴らしかったです。,His performance was very wonderful.,这场表演非常精彩，观众们都很满意。,この公演はとても素晴らしく、観客は皆満足しました。
231,经济,jīng jì,economy; economic,経済,经济发展很快。,経済はとても速く発展しています。,The economy is developing very fast.,国家的经济发展对人民生活有很大影响。,国の経済発展は国民の生活に大きな影響を与えます。
232,经历,jīng lì,"experience; to experience; to go through; CL:个, 次[Ci4]",経験する,我经历了很多困难。,私は多くの困難を経験しました。,I have experienced many difficulties.,他经历了很多困难，但从未放弃自己的梦想。,彼は多くの困難を経験しましたが、自分の夢をあきらめたことはありません。
233,经验,jīng yàn,to experience; experience,経験,她有丰富的经验。,彼女は豊富な経験があります。,She has rich experience.,工作经验丰富的人更容易找到好工作。,仕事の経験が豊富な人は、より良い仕事を見つけやすいです。
234,景色,jǐng sè,scenery; scene; landscape; view,景色,这里的景色很美。,ここの景色はとても美しいです。,The scenery here is very beautiful.,这里的景色非常美丽，吸引了很多游客。,ここの景色はとても美しく、多くの観光客を惹きつけています。
235,警察,jǐng chá,police; policeman; policewoman; CL:个,警察,警察正在调查案件。,警察は事件を調査しています。,The police are investigating the case.,警察及时赶到现场，维护了秩序。,警察はすぐに現場に駆けつけ、秩序を守りました。
236,竞争,jìng zhēng,to compete; competition,競争,市场竞争越来越激烈。,市場の競争はますます激しくなっています。,Market competition is becoming more and more intense.,这两个公司之间的竞争非常激烈。,この二つの会社の間の競争は非常に激しいです。
237,竟然,jìng rán,unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to,なんと,他竟然忘了约会。,彼はなんと約束を忘れてしまいました。,He actually forgot the appointment.,他竟然忘记了我们的约会，让我很惊讶。,彼はなんと私たちの約束を忘れていて、とても驚きました。
238,镜子,jìng zi,"mirror; CL:面[mian4] ,个",鏡,请照照镜子看看。,鏡を見てください。,Please look in the mirror.,我每天早上都会照镜子整理一下头发。,私は毎朝鏡を見て髪を整えます。
239,究竟,jiū jìng,after all (when all is said and done); actually; outcome; result,結局,究竟发生了什么事？,一体何が起こったのですか？,What exactly happened?,你究竟喜欢哪种运动？请告诉我吧。,あなたは一体どんなスポーツが好きですか？教えてください。
240,举,jǔ,to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect,挙げる,他举手回答问题。,彼は手を挙げて質問に答えました。,He raised his hand to answer the question.,老师举了几个例子来帮助我们理解课文。,先生は私たちが本文を理解するのを助けるためにいくつか例を挙げました。
241,举办,jǔ bàn,to conduct; to hold,開催する,学校举办了运动会。,学校は運動会を開催しました。,The school held a sports day.,学校将在下个月举办一次运动会。,学校は来月運動会を開催します。
242,举行,jǔ xíng,"to hold (a meeting, ceremony etc)",行う,会议将在明天举行。,会議は明日開催されます。,The meeting will be held tomorrow.,毕业典礼将在礼堂举行，欢迎大家参加。,卒業式は講堂で行われます。皆さんの参加を歓迎します。
243,拒绝,jù jué,to refuse; to decline; to reject,拒否する,他拒绝了邀请。,彼は招待を断りました。,He refused the invitation.,他拒绝了这份工作，因为条件不合适。,彼は条件が合わないため、その仕事を断りました。
244,聚会,jù huì,party; gathering; to meet; to get together,集まり,我们准备了聚会。,私たちはパーティーの準備をしました。,We prepared for the party.,周末我们打算举办一个朋友聚会。,週末に友達の集まりを開く予定です。
245,距离,jù lí,distance; to be apart; CL:个,距離,两地距离很远。,二つの場所の距離はとても遠いです。,The distance between the two places is very far.,学校离我家有很远的距离，我每天要坐公交车。,学校は私の家からとても遠い距離にあり、毎日バスに乗らなければなりません。
246,开玩笑,kāi wán xiào,to play a joke; to make fun of; to joke,冗談を言う,别开玩笑了，很认真。,冗談はやめて、とても真剣です。,"Stop joking, it's very serious.",别生气，我只是开玩笑而已。,怒らないでください、ただの冗談です。
247,开心,kāi xīn,to feel happy; to rejoice; to have a great time; to make fun of sb,嬉しい,听到好消息很开心。,良い知らせを聞いてとても嬉しいです。,I am very happy to hear the good news.,听到好消息后，她高兴得一直笑个不停。,良い知らせを聞いてから、彼女はずっと笑い続けてとても嬉しそうでした。
248,看法,kàn fǎ,way of looking at a thing; view; opinion; CL:个,考え方,大家的看法不同。,みんなの意見は異なります。,Everyone's opinions are different.,大家对这个问题的看法有很多不同的意见。,みんなこの問題に対する考え方はさまざまです。
249,烤鸭,kǎo yā,roast duck,北京ダック,我喜欢吃烤鸭。,私は北京ダックを食べるのが好きです。,I like eating roast duck.,北京烤鸭是中国非常有名的传统美食。,北京ダックは中国で非常に有名な伝統的な美食です。
250,考虑,kǎo lv4,to think over; to consider; consideration,考える,我正在考虑这个问题。,私はこの問題を考えています。,I am considering this problem.,在做决定之前，你应该认真考虑所有的因素。,決定を下す前に、あなたはすべての要素をよく考慮すべきです。
251,棵,kē,"classifier for trees, cabbages, plants etc",株（植物の量詞）,那棵树很高。,あの木はとても高い。,That tree is very tall.,这棵树已经有五十年的历史了，非常高大。,この木はもう50年の歴史があり、とても高いです。
252,科学,kē xué,"science; scientific knowledge; scientific; CL:门[men2] ,个,种[zhong3]",科学,科学很重要。,科学はとても重要です。,Science is very important.,科学的发展改变了我们的生活方式。,科学の発展は私たちの生活様式を変えました。
253,咳嗽,ké sou,to cough; CL:阵[zhen4],咳嗽,他一直咳嗽。,彼はずっと咳をしている。,He has been coughing continuously.,他感冒了，所以一直不停地咳嗽。,彼は風邪をひいているので、ずっと咳をしています。
254,可怜,kě lián,pitiful; pathetic,かわいそう,他真可怜。,彼は本当にかわいそうだ。,He is really pitiful.,那只小猫看起来很可怜，需要帮助。,あの子猫はとてもかわいそうに見えて、助けが必要です。
255,可是,kě shì,but; however,しかし,我想去，可是忙。,行きたいけど、忙しい。,"I want to go, but I am busy.",我想去看电影，可是今天太忙了。,映画を見に行きたいですが、今日は忙しすぎます。
256,可惜,kě xī,it is a pity; what a pity; (it's) too bad,残念,可惜没时间。,残念ながら時間がない。,"Unfortunately, I don't have time.",你没来参加聚会，真是可惜。,あなたがパーティーに来なかったのは、本当に残念です。
257,客厅,kè tīng,drawing room (room for arriving guests); living room; CL:间[jian1],客間,客厅很舒服。,リビングはとても快適だ。,The living room is very comfortable.,客厅里摆放着一张大沙发和一台电视。,リビングには大きなソファとテレビが置いてあります。
258,肯定,kěn dìng,to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative,肯定,我肯定成功。,私は必ず成功する。,I am sure to succeed.,他肯定会按时完成这项工作。,彼はきっと時間通りにこの仕事を終えるでしょう。
259,空,kōng,to empty; vacant; unoccupied; space; leisure; free time;,空（あいている）,你有空吗？,あなたは暇ですか？,Are you free?,明天的会议时间还空着，没有安排任何事情。,明日の会議の時間はまだ空いていて、何の予定もありません。
260,空气,kōng qì,air; atmosphere,空気,空气很新鲜。,空気がとても新鮮だ。,The air is very fresh.,这里的空气很新鲜，适合户外运动。,ここの空気は新鮮で、アウトドアスポーツに適しています。
261,恐怕,kǒng pà,to fear; to dread; I'm afraid that...; perhaps; maybe,恐らく,恐怕要迟到。,恐らく遅刻するだろう。,I'm afraid I will be late.,恐怕我们今天赶不上火车了。,恐らく私たちは今日列車に間に合わないでしょう。
262,苦,kǔ,bitter; hardship; pain; to suffer; painstaking,苦い、つらい,这药很苦。,この薬はとても苦い。,This medicine is very bitter.,这道菜有点苦，但很有营养。,この料理は少し苦いですが、とても栄養があります。
263,矿泉水,kuàng quán shuǐ,"mineral spring water; CL:瓶[ping2] ,杯[bei1]",ミネラルウォーター,我买矿泉水。,私はミネラルウォーターを買う。,I buy mineral water.,请给我一瓶矿泉水，谢谢。,ミネラルウォーターを一本ください、ありがとうございます。
264,困,kùn,to be trapped; to surround; to be hard-pressed; stranded; destitute,眠い,我很困了。,私はとても眠い。,I am very sleepy.,昨天晚上没睡好，今天感觉很困。,昨晩よく眠れなかったので、今日はとても眠いです。
