No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
483,多元化,duō yuán huà,diversification; pluralism; to diversify,多様化,经济结构实现多元化发展。,経済構造は多様化した発展を実現した。,The economic structure achieved diversified development.,随着经济的发展，社会结构日益多元化，文化更加丰富。,経済の発展とともに、社会構造は日増しに多元化し、文化はより豊かになっています。
484,堕落,duò luò,to morally degenerate; to become depraved; a fall from grace; a fall into sin or depravity,堕落する,腐败导致社会道德堕落。,腐敗は社会の道徳の堕落を招いた。,Corruption led to the moral decay of society.,腐败现象导致部分官员道德堕落，失去人民信任。,腐敗現象は一部の官僚の道徳的堕落を招き、国民の信頼を失わせました。
485,额外,é wài,extra; added; additional,追加の,会议安排了额外时间。,会議には追加の時間が割り当てられた。,Extra time was allocated for the meeting.,公司为员工提供了额外的福利，以提高工作积极性。,会社は従業員に追加の福利厚生を提供し、仕事への積極性を高めました。
486,恶心,ě xin,nausea; to feel sick; disgust; nauseating,吐き気,食物变质让我恶心。,食べ物が腐って気持ち悪くなった。,The spoiled food made me feel nauseous.,看到令人作呕的场景，他感到一阵恶心，差点呕吐。,吐き気を催すような光景を見て、彼はむかつきを感じ、吐きそうになりました。
487,恶化,è huà,worsen,悪化する,局势因冲突而恶化。,情勢は衝突によって悪化した。,The situation worsened due to conflicts.,环境污染问题日益恶化，亟需采取有效措施加以治理。,環境汚染問題はますます悪化しており、早急に効果的な対策を講じて改善しなければなりません。
488,遏制,è zhì,to check; to contain; to hold back; to keep within limits; to constrain; to restrain,抑制する,政府采取措施遏制通胀。,政府はインフレを抑制するために措置を取った。,The government took measures to curb inflation.,政府采取多种手段遏制非法集资，保护投资者利益。,政府は様々な手段を講じて違法な資金集めを抑制し、投資家の利益を守っています。
489,恩怨,ēn yuàn,(feeling of) resentment; (longstanding) grudge,恩讐,他们化解了多年的恩怨。,彼らは長年の恨みを解消した。,They resolved years of grudges.,多年恩怨终于化解，双方实现了和解与合作。,長年の恩讐はついに解消され、双方は和解と協力を実現しました。
490,而已,ér yǐ,that's all; nothing more,だけ,我只是开个玩笑而已。,私はただ冗談を言っただけだ。,I was just joking.,这只是我的个人看法而已，没有强制性的要求。,これはあくまでも私の個人的な見解に過ぎず、強制的な要求ではありません。
491,二氧化碳,èr yǎng huà tàn,carbon dioxide; CO2,二酸化炭素,二氧化碳排放需减少。,二酸化炭素の排出を減らす必要がある。,Carbon dioxide emissions need to be reduced.,二氧化碳排放量的增加加剧了全球气候变暖的问题。,二酸化炭素の排出量の増加は地球温暖化問題を悪化させています。
492,发布,fā bù,to release; to issue; to announce; to distribute; also written 發发布[fa1 bu4],発表する,公司发布最新财报。,会社は最新の財務報告を発表した。,The company released the latest financial report.,公司正式发布了新款智能手机，引起市场广泛关注。,会社は正式に新型スマートフォンを発表し、市場の広範な関心を集めました。
493,发财,fā cái,to get rich,金持ちになる,他梦想早日发财致富。,彼は早くお金持ちになることを夢見ている。,He dreams of getting rich soon.,他通过自己的努力创业发财，实现了人生梦想。,彼は自分の努力で起業して財を成し、人生の夢を実現しました。
494,发呆,fā dāi,to daydream; lost in thought,ぼんやりする,他发呆了好几分钟。,彼は何分もぼんやりしていた。,He was daydreaming for several minutes.,看到美丽的风景，他忍不住发呆，沉浸其中。,美しい風景を見て、彼はついぼんやりとし、その中に浸りました。
495,发动,fā dòng,to start; to launch; to unleash; to mobilize; to arouse,発動する,发动机器开始生产。,機械を始動して生産を開始した。,Started the machine and began production.,发动员工积极参与创新项目，提升企业竞争力。,従業員を動員して積極的にイノベーションプロジェクトに参加させ、企業の競争力を高めます。
496,发觉,fā jué,to find; to detect; to discover,気づく,她发觉问题所在。,彼女は問題の所在に気づいた。,She discovered where the problem was.,经过仔细观察，他发觉问题比想象中更为复杂。,注意深く観察した結果、彼は問題が想像以上に複雑であることに気づきました。
497,发射,fā shè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission,発射する,火箭成功发射升空。,ロケットは無事に打ち上げられた。,The rocket was successfully launched into the sky.,卫星成功发射，为科学研究提供了宝贵的数据支持。,衛星は無事に打ち上げられ、科学研究に貴重なデータの支援を提供しました。
498,发誓,fā shì,to vow; to pledge; to swear,誓う,他发誓要努力学习。,彼は努力して勉強すると誓った。,He vowed to study hard.,他发誓会全力以赴完成这项艰巨的任务。,彼はこの困難な任務を全力でやり遂げることを誓いました。
499,发行,fā xíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",発行する,出版社发行新书。,出版社は新しい本を発行した。,The publisher issued a new book.,出版社计划下个月发行新书，满足读者的需求。,出版社は来月新刊を発行する予定で、読者のニーズを満たします。
500,发炎,fā yán,inflamed from infection or injury; inflammation,炎症を起こす,伤口发炎需及时处理。,傷口が化膿したら早めに処置が必要だ。,"If the wound becomes inflamed, it needs timely treatment.",他的伤口发炎了，医生建议立即进行治疗。,彼の傷口が炎症を起こしており、医者は直ちに治療を受けるよう勧めました。
501,发扬,fā yáng,to develop; to make full use of,発揚,我们应发扬传统美德。,私たちは伝統的な美徳を発揚すべきです。,We should carry forward traditional virtues.,我们应该发扬传统美德，促进社会和谐与进步。,私たちは伝統的な美徳を発揚し、社会の調和と進歩を促進すべきだ。
502,发育,fā yù,to develop; growth; development,発育,儿童的智力正在发育。,子供の知能は発達しています。,Children's intelligence is developing.,婴儿在出生后的头几年里发育得非常迅速。,赤ちゃんは生まれてから最初の数年間で非常に急速に発育する。
503,法人,fǎ rén,legal person; corporation; see also 自然自然人[zi4 ran2 ren2],法人,该公司是独立法人单位。,その会社は独立した法人組織です。,The company is an independent legal entity.,这家公司作为法人，有独立承担法律责任的资格。,この会社は法人として、独立して法的責任を負う資格がある。
504,番,fān,to take turns; order in series; time; a kind of; barbarians,回,这番话令人深思。,この言葉は人を深く考えさせます。,These words make people think deeply.,这部电影我看了好几番，每次都有不同的感受。,この映画は何度も見たが、そのたびに違った感動がある。
505,凡是,fán shì,every; all,すべて,凡是努力的人都成功。,努力する者は皆成功します。,Everyone who works hard succeeds.,凡是参加考试的学生，都必须携带身份证明材料。,試験に参加する者はすべて身分証明書を携帯しなければならない。
506,繁华,fán huá,flourishing; bustling,繁華,城市中心十分繁华。,市の中心部は非常に繁華です。,The city center is very bustling.,市中心的繁华地段每天吸引着大量游客和购物者。,市の中心の繁華な地区は毎日大量の観光客と買い物客を引きつけている。
507,繁忙,fán máng,busy; bustling,繁忙,他每天工作都很繁忙。,彼は毎日とても忙しく働いています。,He is very busy working every day.,节假日期间，交通繁忙，出行需提前规划路线。,休日期間は交通が繁忙で、外出はあらかじめルートを計画する必要がある。
508,繁体字,fán tǐ zì,traditional Chinese character,繁体字,台湾使用繁体字书写。,台湾では繁体字を使って書きます。,Taiwan uses traditional Chinese characters for writing.,台湾和香港广泛使用繁体字作为书写文字。,台湾と香港では繁体字が広く書き文字として使われている。
509,繁殖,fán zhí,to breed; to reproduce; to propagate,繁殖,动物在春天大量繁殖。,動物は春に大量に繁殖します。,Animals reproduce in large numbers in spring.,科学家们研究动物的繁殖规律，以保护濒危物种。,科学者たちは動物の繁殖の規律を研究し、絶滅危惧種を保護している。
510,反驳,fǎn bó,to retort; to refute,反駁,他勇敢地反驳了质疑。,彼は勇敢に疑問を反論しました。,He bravely refuted the doubts.,面对对方的指责，他冷静地反驳了所有不实的言论。,相手の非難に対して、彼は冷静にすべての不当な言論を反駁した。
511,反常,fǎn cháng,unusual; abnormal,異常,气候出现了反常现象。,気候に異常現象が現れました。,Abnormal climate phenomena have appeared.,这种反常的天气现象可能与全球气候变暖有关。,この異常な天候現象は地球温暖化と関係があるかもしれない。
512,反感,fǎn gǎn,to be disgusted with; to dislike; bad reaction; antipathy,反感,他对不公现象感到反感。,彼は不公平な現象に反感を感じています。,He feels disgusted by the unfair phenomena.,他对这种不公平的待遇感到强烈反感，决定提出申诉。,彼はこの不公平な扱いに強い反感を感じ、訴えを提出することにした。
513,反抗,fǎn kàng,to resist; to rebel,反抗,人民反抗暴政统治。,人民は暴政の支配に反抗します。,The people resist tyrannical rule.,为了争取权益，工人们集体反抗了企业的不合理规定。,権利を争うために、労働者たちは企業の不合理な規定に集団で反抗した。
514,反馈,fǎn kuì,to send back information; feedback,フィードバック,请给予及时反馈意见。,どうか適時にフィードバックをお願いします。,Please provide timely feedback.,公司及时收集客户的反馈意见，以便改进产品质量。,会社は顧客からのフィードバックを迅速に収集し、製品の品質改善に役立てている。
515,反面,fǎn miàn,reverse side of sth; opposite side of some topic; the other side,反面,问题的反面需要分析。,問題の裏面も分析する必要があります。,The opposite side of the problem needs to be analyzed.,任何事物都有其反面，我们应该全面看待问题。,あらゆる事物にはその裏面があり、私たちは問題を全面的に見るべきだ。
516,反射,fǎn shè,to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism),反射,光线被镜面反射。,光は鏡面で反射されます。,Light is reflected by the mirror surface.,光线通过镜面反射后，改变了传播的方向。,光は鏡面で反射した後、伝播の方向を変えた。
517,反思,fǎn sī,to think back over sth; to review; to revisit; to rethink; reflection; reassessment,反省,他深刻反思了错误。,彼は誤りを深く反省しました。,He deeply reflected on his mistakes.,经过这次失败，他深刻反思了自己的不足和错误。,今回の失敗を経て、彼は自分の不足や過ちを深く反省した。
518,反问,fǎn wèn,to ask (a question) in reply; to answer a question with a question; rhetorical question,反問,老师用反问激发思考。,先生は反問を使って思考を刺激します。,The teacher uses rhetorical questions to stimulate thinking.,他的话语中带有反问的语气，表达了怀疑和不满。,彼の言葉には反問の口調があり、疑問と不満を表していた。
519,反之,fǎn zhī,on the other hand...; conversely...,逆に,努力不足，反之必失败。,努力が足りなければ、逆に必ず失敗します。,"If you lack effort, on the contrary, you will definitely fail.",正面进攻困难重重，反之可以采取迂回战术。,正面攻撃は困難が多いが、逆に迂回戦術を取ることができる。
520,泛滥,fàn làn,to be in flood; to overflow (the banks); to inundate; to spread unchecked,氾濫,洪水导致河水泛滥。,洪水は川の水の氾濫を引き起こしました。,The flood caused the river to overflow.,洪水泛滥导致农田被淹没，农作物受到严重破坏。,洪水の氾濫により農地が水没し、農作物が深刻な被害を受けた。
521,范畴,fàn chóu,category,範疇,这不属于讨论范畴。,これは議論の範囲に属しません。,This does not fall within the scope of discussion.,语言学中的范畴划分有助于理解词汇的意义结构。,言語学における范畴の区分は語彙の意味構造を理解するのに役立つ。
522,贩卖,fàn mài,to sell; to peddle; to traffic,販売,他们非法贩卖野生动物。,彼らは野生動物を違法に販売しています。,They illegally sell wild animals.,警方成功查获了一起非法贩卖野生动物的案件。,警察は違法な野生動物の売買事件を成功裏に摘発した。
523,方位,fāng wèi,direction; points of the compass; bearing; position; azimuth,方位,请确认地图上的方位。,地図上の方位を確認してください。,Please confirm the directions on the map.,利用太阳方位可以帮助建筑设计更好地采光和通风。,太陽の方位を利用することで建築の採光や通風をより良く設計できる。
524,方言,fāng yán,dialect,方言,南方方言差异很大。,南方の方言は大きな差異があります。,Southern dialects have large differences.,中国各地的方言差异反映了丰富多样的文化特色。,中国各地の方言の違いは豊かで多様な文化的特徴を反映している。
525,方圆,fāng yuán,circumference;,範囲,方圆十公里内禁止。,半径十キロメートル以内は禁止です。,It is prohibited within a radius of ten kilometers.,学校的方圆几公里范围内设立了多个交通安全监控点。,学校の周囲数キロメートルの範囲内に複数の交通安全監視ポイントが設置された。
526,方针,fāng zhēn,policy; guidelines; CL:个,方針,公司制定了发展方针。,会社は発展方針を制定しました。,The company formulated development policies.,企业的发展方针应当适应市场变化，灵活调整战略。,企業の発展方針は市場の変化に適応し、戦略を柔軟に調整すべきだ。
527,防守,fáng shǒu,defend; protect (against),防守,球队加强防守策略。,チームは守備戦略を強化しました。,The team strengthened its defensive strategy.,球队在比赛中采取了积极防守的战术，成功抵御了对手的进攻。,チームは試合中積極的な守備戦術を採用し、相手の攻撃をうまく防いだ。
528,防御,fáng yù,defense,防御,军队建起坚固防御工事。,軍隊は堅固な防御工事を築きました。,The army built solid defensive fortifications.,军队加强了边境的防御，确保国家安全不受威胁。,軍隊は国境の防御を強化し、国家の安全が脅かされないようにした。
529,防止,fáng zhǐ,to prevent; to guard against; to take precautions,防止,措施有效防止事故发生。,措置は事故の発生を効果的に防止しました。,The measures effectively prevented accidents.,为了防止火灾发生，居民必须定期检查电线线路。,火災を防止するために、住民は定期的に電線回路を点検しなければならない。
530,防治,fáng zhì,prevention and cure,防治,积极防治传染病疫情。,感染症の流行を積極的に防治します。,Actively prevent and control infectious disease outbreaks.,政府加大了对传染病的防治力度，保障公众健康。,政府は感染症の防治努力を強化し、公共の健康を保障している。
531,纺织,fǎng zhī,spinning and weaving,紡績,该厂主要从事纺织业。,その工場は主に繊維業に従事しています。,The factory mainly engages in the textile industry.,该地区的纺织工业发展迅速，带动了当地经济繁荣。,この地域の紡績産業は急速に発展し、地元経済の繁栄を促進している。
532,访问,fǎng wèn,to visit; to call on; to interview; CL:次[ci4],訪問,他计划访问欧洲多国。,彼はヨーロッパの複数の国を訪問する計画です。,He plans to visit multiple European countries.,总统将于下周访问该国，促进两国友好关系的发展。,大統領は来週その国を訪問し、両国の友好関係の発展を促進する予定だ。
533,放大,fàng dà,to enlarge; to magnify,拡大,显微镜可放大图像。,顕微鏡は画像を拡大できます。,A microscope can magnify images.,显微镜可以放大物体，使细胞结构清晰可见。,顕微鏡は物体を拡大し、細胞構造を鮮明に見ることができる。
534,放射,fàng shè,to radiate; radioactive,放射,放射线对人体有害。,放射線は人体に有害です。,Radiation is harmful to the human body.,放射性物质的泄漏对环境和人体健康构成严重威胁。,放射性物質の漏出は環境と人体の健康に深刻な脅威をもたらす。
535,非法,fēi fǎ,illegal,違法,非法行为必须严惩。,違法行為は厳しく処罰されなければなりません。,Illegal acts must be severely punished.,非法采矿活动导致了土地资源的严重破坏和生态失衡。,違法採掘活動が土地資源の深刻な破壊と生態系の不均衡を引き起こした。
536,飞禽走兽,fēi qín zǒu shòu,birds and animals; the beasts of the field and the birds of the air,鳥獣,森林里有许多飞禽走兽。,森には多くの鳥獣がいます。,There are many birds and beasts in the forest.,森林中生活着各种飞禽走兽，生态系统非常丰富多样。,森林にはさまざまな鳥獣が生息し、生態系は非常に豊かで多様だ。
537,飞翔,fēi xiáng,fly,飛翔,鹰在天空自由飞翔。,鷲は空を自由に飛翔しています。,The eagle flies freely in the sky.,鹰在天空中自由飞翔，展现出强大的生命力和活力。,鷲は空中を自由に飛翔し、強大な生命力と活力を見せている。
538,飞跃,fēi yuè,to leap,飛躍,科技发展取得飞跃。,科学技術の発展は飛躍的な成果を得ました。,Scientific and technological development has made a leap.,科技的飞跃发展极大地推动了社会生产力的进步。,科学技術の飛躍的な発展は社会の生産力の進歩を大きく促進した。
539,肥沃,féi wò,fertile,肥沃,这片土地非常肥沃。,この土地は非常に肥沃です。,This land is very fertile.,这片肥沃的土地非常适合种植各种农作物。,この肥沃な土地はさまざまな農作物の栽培に非常に適している。
540,诽谤,fěi bàng,slander; libel,誹謗,他遭受无端诽谤攻击。,彼は理不尽な誹謗中傷を受けました。,He suffered from groundless slander and attacks.,他遭受了无端的诽谤，但依然保持了良好的心态。,彼は根拠のない誹謗中傷を受けたが、それでも良い心態を保ち続けた。
541,废除,fèi chú,to abolish; to abrogate; to repeal,廃止,旧法规已被废除。,旧い法規はすでに廃止されました。,The old regulations have been abolished.,政府决定废除过时的法规，推动法律体系现代化。,政府は時代遅れの法規を廃止し、法体系の現代化を推進することに決めた。
542,废寝忘食,fèi qǐn wàng shí,to neglect sleep and forget about food (idiom); to skip one's sleep and meals; to be completely wrapped up in one's work;,寝食忘れる,他废寝忘食地学习。,彼は寝食を忘れて勉強しました。,He studied so hard that he forgot to eat and sleep.,科学家们废寝忘食地进行实验，终于取得了突破性的成果。,科学者たちは寝食を忘れて実験に取り組み、ついに画期的な成果を得た。
543,废墟,fèi xū,ruins,廃墟,战争后满目废墟。,戦争後は一面の廃墟でした。,"After the war, there was nothing but ruins.",战争结束后，城市变成了一片废墟，亟需重建工作。,戦争終了後、都市は廃墟と化し、早急な再建が必要だった。
544,沸腾,fèi téng,boiling; ebullition,沸騰,水在锅中沸腾起来。,水が鍋の中で沸騰し始めました。,The water began to boil in the pot.,湖水在阳光照射下沸腾般翻滚，景象十分壮观。,湖水は日光の照射で沸騰するように波立ち、その景色は非常に壮観だった。
545,肺,fèi,lung; CL:个,肺,肺部健康至关重要。,肺の健康は非常に重要です。,Lung health is crucial.,吸烟对肺部健康有严重危害，应尽早戒烟保护自己。,喫煙は肺の健康に深刻な害を及ぼすため、早めに禁煙して自分を守るべきだ。
546,分辨,fēn biàn,to distinguish; to differentiate; to resolve; to defend against an accusation; to exculpate,識別,他能分辨真假货品。,彼は本物と偽物を見分けることができます。,He can distinguish between genuine and fake products.,他能够准确分辨不同鸟类的叫声，显示出丰富的知识。,彼は異なる鳥類の鳴き声を正確に識別でき、豊富な知識を示している。
547,分寸,fēn cun,propriety; appropriate behavior; proper speech or action; within the norms,分寸,讲话要把握分寸。,話すときは分寸をわきまえるべきです。,You should grasp the proper measure when speaking.,在谈话中要注意分寸，避免说话过于直接伤害他人。,会話では分別をわきまえ、あまり直接的に話して相手を傷つけないようにするべきだ。
548,分红,fēn hóng,a bonus; to award a bonus,配当,公司发放年度分红。,会社は年次配当を支給します。,The company distributes annual dividends.,公司今年发放了丰厚的分红，激励员工更加努力工作。,会社は今年豊富な配当を支給し、社員のさらなる努力を促した。
549,分解,fēn jiě,to resolve; to decompose; to break down,分解,化学反应将物质分解。,化学反応は物質を分解します。,Chemical reactions decompose substances.,化学反应过程中，复杂的物质会分解成简单的成分。,化学反応の過程で、複雑な物質は単純な成分に分解される。
550,分裂,fēn liè,to split up; to divide; to break up; fission,分裂,集团内部出现分裂。,グループ内に分裂が生じました。,A split occurred within the group.,政治分裂导致国家内部矛盾加剧，社会不稳定因素增多。,政治の分裂は国家内部の矛盾を激化させ、社会の不安定要素を増加させた。
551,分泌,fēn mì,secrete,分泌,内分泌系统调节激素。,内分泌系はホルモンを調節する。,The endocrine system regulates hormones.,人体通过内分泌系统分泌多种激素来调节身体的各种功能。,人体は内分泌系を通じてさまざまなホルモンを分泌し、身体のさまざまな機能を調節する。
552,分明,fēn míng,clearly demarcated; sharply contoured,明確,事实分明，真相大白。,事実は明らかで、真相がはっきりした。,"The facts are clear, and the truth is revealed.",这两者的区别非常分明，几乎没有混淆的可能。,この二つの違いは非常に明確で、ほとんど混同の可能性はない。
553,分歧,fēn qí,"difference (of opinion, position); bifurcation",分裂,意见分歧导致争论。,意見の相違が議論を引き起こした。,Differences in opinion led to a debate.,关于未来发展的战略，公司内部出现了严重的分歧。,将来の発展戦略について、会社内部に深刻な意見の相違が生じた。
554,分散,fēn sàn,scatter; disperse; distribute,分散,投资风险应分散。,投資リスクは分散すべきだ。,Investment risks should be diversified.,资金分散投资可以有效降低风险，提高收益的稳定性。,資金を分散投資することで、リスクを効果的に減らし、収益の安定性を高めることができる。
555,吩咐,fēn fù,to tell; to instruct; to command,吩咐,老师吩咐我们认真听讲。,先生は私たちに真剣に授業を聞くように指示した。,The teacher instructed us to listen attentively.,老师吩咐我们课后必须完成所有指定的练习题。,先生は私たちに放課後にすべての指定された練習問題を必ず終えるように命じた。
556,坟墓,fén mù,sepulcher; tomb,墓地,先人的坟墓被修缮。,先祖の墓が修繕された。,The ancestors' graves were repaired.,古代先人的坟墓反映了那个时代的文化和习俗。,古代の先人の墓は、その時代の文化や習慣を反映している。
557,粉末,fěn mò,fine powder; dust,粉末,药粉末必须均匀。,薬の粉末は均一でなければならない。,The medicine powder must be uniform.,这种药物通常以粉末形式服用，便于吸收。,この薬は通常粉末状で服用され、吸収しやすい。
558,粉色,fěn sè,white; light pink; erotic; beautiful woman; powdered (with make-up),薄紅色,她穿着粉色连衣裙。,彼女はピンクのワンピースを着ている。,She is wearing a pink dress.,她穿了一件淡粉色的连衣裙，看起来非常温柔。,彼女は淡いピンク色のワンピースを着ていて、とても優しそうに見える。
559,粉碎,fěn suì,crash; break up,粉碎,敌军被彻底粉碎。,敵軍は徹底的に粉砕された。,The enemy forces were completely crushed.,机器在高速运转时突然粉碎，导致生产线停滞。,機械が高速で運転中に突然粉砕し、生産ラインが停止した。
560,分量,fèn liàng,weight; measure,分量,这道菜的分量足够。,この料理の分量は十分だ。,The portion of this dish is sufficient.,这道菜的分量很足，足以满足两个人的食量。,この料理の分量は十分で、二人分の食欲を満たすことができる。
561,愤怒,fèn nù,angry; indignant,憤怒,他因不公而愤怒。,彼は不公平に怒っている。,He is angry because of injustice.,他对于不公正的待遇感到极度愤怒，决定采取行动。,彼は不公平な扱いに非常に憤怒し、行動を起こすことを決意した。
562,丰满,fēng mǎn,plentiful; rich; plump; well-rounded,丰满,雕塑线条丰满细腻。,彫刻の線は豊かで繊細だ。,The sculpture's lines are full and delicate.,她的身材丰满，气质优雅，给人留下深刻印象。,彼女は体格が豊かで気品があり、深い印象を残す。
563,丰盛,fēng shèng,rich; sumptuous,丰盛,晚宴菜肴丰盛多样。,晩餐の料理は豊富で多様だ。,The banquet dishes are abundant and varied.,宴会上的菜肴丰盛，体现了主人的热情好客。,宴会の料理は豪華で、主人の心からのおもてなしを表している。
564,丰收,fēng shōu,bumper harvest,丰收,今年粮食丰收喜人。,今年の穀物の収穫は喜ばしい。,This year's grain harvest is gratifying.,今年秋天的丰收让农民们脸上都露出了笑容。,今年の秋の豊作は農民たちの顔に笑顔をもたらした。
565,封闭,fēng bì,to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive,封閉,会议室临时封闭。,会議室は臨時に閉鎖された。,The meeting room was temporarily closed.,由于疫情防控需要，学校决定暂时封闭校园，禁止外来人员进入。,感染防止のため、学校は一時的にキャンパスを封鎖し、外部の人の立ち入りを禁止することを決定した。
566,封建,fēng jiàn,system of enfeoffment; feudalism; feudal; feudalistic,封建,封建制度已被废除。,封建制度はすでに廃止された。,The feudal system has been abolished.,封建社会的等级制度限制了个人自由和社会发展。,封建社会の身分制度は個人の自由と社会の発展を制限した。
567,封锁,fēng suǒ,to blockade; to seal off,封鎖,港口被海军封锁。,港は海軍によって封鎖された。,The port was blockaded by the navy.,政府为了维护国家安全，决定封锁部分边境地区。,政府は国家の安全を守るために、一部の国境地域を封鎖することを決定した。
568,锋利,fēng lì,sharp (e.g. knife blade); incisive; to the point,鋭利,刀锋十分锋利锋利。,刃は非常に鋭い。,The blade is very sharp.,这把刀刃锋利，可以轻松切割各种材料。,このナイフの刃は鋭く、さまざまな材料を簡単に切断できる。
569,风暴,fēng bào,"storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)",暴風,风暴席卷沿海城市。,嵐が沿岸の都市を襲った。,The storm swept through the coastal city.,突如其来的风暴造成了严重的破坏和人员伤亡。,突然の暴風は深刻な被害と人的損害をもたらした。
570,风度,fēng dù,elegance (for men); elegant demeanor; grace; poise,風格,他的风度令人敬佩。,彼の風格は敬服に値する。,His demeanor is admirable.,他举止优雅，风度翩翩，给人留下良好的印象。,彼は振る舞いが優雅で、風格があり、良い印象を与える。
571,风光,fēng guāng,scene; view; sight; landscape; to be well-regarded; to be well-off; grand (topolect); impressive (topolect),風景,这里的风光美不胜收。,ここからの風景は素晴らしい。,The scenery here is breathtaking.,这座城市的风光旖旎，吸引了大量游客前来观光。,この都市の風光は美しく、多くの観光客を惹きつけている。
572,风气,fēng qì,general mood; atmosphere; common practice,風氣,社会风气逐渐改善。,社会の風潮は徐々に改善している。,The social atmosphere is gradually improving.,良好的风气有助于促进社会的和谐与进步。,良い風潮は社会の調和と進歩を促進するのに役立つ。
573,风趣,fēng qù,humor; wit; humorous; witty,風趣,他讲话风趣幽默。,彼の話し方はユーモアがあって面白い。,He speaks with wit and humor.,他的讲话风趣幽默，赢得了听众的热烈掌声。,彼の話は風趣がありユーモアに富んでいて、聴衆の熱烈な拍手を得た。
574,风土人情,fēng tǔ rén qíng,local conditions and customs (idiom),風土人情,了解风土人情很重要。,風土や人情を理解することは重要だ。,Understanding local customs and human relations is important.,了解风土人情对于深入沟通和交流非常重要。,風土や人情を理解することは、深いコミュニケーションと交流に非常に重要だ。
575,风味,fēng wèi,local flavor; local style,風味,这道菜有独特风味。,この料理は独特の風味がある。,This dish has a unique flavor.,这家餐厅以其独特的地方风味吸引了众多食客。,このレストランは独特な地元の風味で多くの食通を引きつけている。
576,逢,féng,to meet by chance; to come across; to fawn upon,逢う,逢年过节大家团聚。,年末年始には皆が集まる。,Everyone gathers during the holidays.,逢年过节，他总是回家与亲人团聚，共度美好时光。,年末年始には、彼はいつも家に帰って家族と団らんし、楽しい時間を過ごす。
577,奉献,fèng xiàn,to consecrate; to dedicate; to devote,奉献,志愿者奉献爱心。,ボランティアは愛を捧げる。,Volunteers dedicate their love.,他毕生奉献于教育事业，培养了无数优秀人才。,彼は生涯を教育事業に捧げ、数え切れない優秀な人材を育てた。
578,否决,fǒu jué,veto; to overrule; to veto; to reject,否決,议案遭到一致否决。,議案は全会一致で否決された。,The proposal was unanimously rejected.,董事会否决了这项不符合公司利益的提案。,取締役会は会社の利益に合わないこの提案を否決した。
579,夫妇,fū fù,a (married) couple; husband and wife; CL:对[dui4],夫妻,夫妇关系和睦幸福。,夫婦関係は和やかで幸福だ。,The couple's relationship is harmonious and happy.,这对夫妇共同经营着一家小餐馆，生活幸福美满。,この夫婦は一緒に小さなレストランを営み、幸せな生活を送っている。
580,夫人,fū ren,lady; madam; Mrs.; CL:位[wei4],夫人,夫人优雅出席晚宴。,夫人は優雅に晩餐会に出席した。,The lady attended the banquet elegantly.,那位夫人以她慈祥的态度赢得了大家的尊敬。,その夫人は彼女の慈愛に満ちた態度で皆の尊敬を集めた。
581,敷衍,fū yǎn,to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by,いい加減,他工作态度敷衍了事。,彼の仕事態度はいい加減だ。,His work attitude is perfunctory.,他对工作敷衍了事，导致项目进展缓慢。,彼は仕事をいい加減にやったため、プロジェクトの進行が遅れた。
582,俘虏,fú lǔ,captive,俘虜,战俘被妥善安置。,戦俘は適切に収容された。,The prisoners of war were properly accommodated.,战争中，许多士兵被敌军俘虏，经历了艰难的时光。,戦争中、多くの兵士が敵軍に捕虜となり、苦しい時期を過ごした。
583,幅度,fú dù,width; extent; range; scope,幅度,价格波动幅度较大。,価格の変動幅はかなり大きい。,The price fluctuations are quite large.,根据市场需求，产品价格的幅度进行了适当调整。,市場の需要に応じて、商品の価格幅を適切に調整した。
584,服从,fú cóng,to obey (an order); to comply; to defer,服從,员工必须服从管理。,従業員は管理に従わなければならない。,Employees must obey management.,员工必须服从公司的规章制度，确保团队协作顺畅。,従業員は会社の規則を遵守し、チームの円滑な協力を確保しなければならない。
585,服气,fú qì,to be convinced; to accept,心服,我对他的能力服气。,私は彼の能力に感服している。,I am impressed by his ability.,经过详细解释，他终于服气，接受了专家的建议。,詳細な説明を受けて、彼はようやく納得し、専門家の助言を受け入れた。
586,福利,fú lì,(material) welfare; well-being,福利,公司提供良好福利。,会社は良好な福利厚生を提供している。,The company provides good benefits.,公司为员工提供了完善的福利待遇，提升了工作积极性。,会社は従業員に充実した福利厚生を提供し、仕事への積極性を高めた。
587,福气,fú qi,good fortune; to enjoy good fortune,幸運,他觉得自己很有福气。,彼は自分はとても幸運だと思っている。,He feels that he is very fortunate.,她认为拥有健康的身体是最大的福气和财富。,彼女は健康な体を持つことが最大の福気と富だと考えている。
588,符号,fú hào,symbol; mark; sign,記号,数学符号必须准确。,数学の記号は正確でなければならない。,Mathematical symbols must be accurate.,数学中的符号系统帮助我们更方便地表达复杂的概念。,数学の記号体系は複雑な概念をより便利に表現するのに役立つ。
