番号,国旗,中国語の名言・格言,ピンイン,人物名・出典,日本語の解説
128,🇬🇧,无知者比有知者更自信,wú zhī zhě bǐ yǒu zhī zhě gèng zì xìn,チャールズ・ダーウィン（Charles Darwin）英・生物学者,無知な者は、知恵ある者よりも自信に満ちている。学習を進めるほど自分の不足に気づき、謙虚になるべきだという教え。
129,🇫🇷,好奇心造就科学家和诗人,hào qí xīn zào jiù kē xué jiā hé shī rén,アナトール・フランス（Anatole France）仏・作家,好奇心が科学者と詩人を創る。言葉に対する好奇心が語学力を飛躍させる。
130,🇷🇺,读书是最好的学习。追随伟大人物的思想，是最富有趣味的一门科学,dú shū shì zuì hǎo de xué xí 。 zhuī suí wěi dà rén wù de sī xiǎng ， shì zuì fù yǒu qù wèi de yī mén kē xué,アレクサンドル・プーシキン（Alexander Pushkin）露・詩人,読書は最高の学習である。偉大な人物の思想を追うことは最も面白い。名言や文学を通じて言語を学ぶ楽しさ。
131,🇷🇺,科学的未来只能属于勤奋而谦虚的年轻一代,kē xué de wèi lái zhǐ néng shǔ yú qín fèn ér qiān xū de nián qīng yí dài,イワン・パブロフ（Ivan Pavlov）露・生理学者,科学の未来は、勤勉で謙虚な若い世代にのみ属する。語学学習においても勤勉さと謙虚さが不可欠。
132,🇺🇸,惊奇就是科学的种子,jīng qí jiù shì kē xué de zhǒng zi,トーマス・エジソン（Thomas Edison）米・発明家,驚きは科学の種である。新しい単語や表現に出会ったときの感動を大切にすること。
133,🇫🇷,"在科学上重要的是研究出来的""东西""，不是研究者""个人""","zài kē xué shàng zhòng yào de shì yán jiū chū lái de "" dōng xī ""， bú shì yán jiū zhě "" gè rén """,マリー・キュリー（Marie Curie）仏・物理学者・化学者,科学において重要なのは発見された「事柄」であり、研究者「個人」ではない。学習の成果そのものに集中すること。
134,🇬🇧,只有顺从自然，才能驾驭自然,zhǐ yǒu shùn cóng zì rán ， cái néng jià yù zì rán,フランシス・ベーコン（Francis Bacon）英・哲学者,自然に従ってこそ、自然を支配できる。言語の自然な法則（文法や語法）に逆らわず、素直に学ぶこと。
135,🇫🇷,科学的探讨和研究，其本身就含有至美，其本身给人的愉快就是酬报,kē xué de tàn tǎo hé yán jiū ， qí běn shēn jiù hán yǒu zhì měi ， qí běn shēn gěi rén de yú kuài jiù shì chóu bào,マリー・キュリー（Marie Curie）仏・物理学者・化学者,探求と研究そのものに美しさがあり、その喜び自体が報酬である。学ぶプロセス自体を楽しむこと。
136,🇩🇪,科学是永无止境的，它是一个永恒之谜,kē xué shì yǒng wú zhǐ jìng de ， tā shì yí gè yǒng héng zhī mí,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,科学に終わりはなく、永遠の謎である。語学学習も一生続く探求の旅である。
137,🇷🇺,天才只意味着终身不懈的努力,tiān cái zhǐ yì wèi zhe zhōng shēn bù xiè de nǔ lì,ドミトリ・メンデレーエフ（Dmitri Mendeleev）露・化学者,天才とは、生涯にわたる絶え間ない努力を意味するに過ぎない。毎日の単語学習の積み重ねが天才を作る。
138,🇬🇧,我之所以能在科学上成功，最重要的一点就是对科学的热爱，坚持长期探索,wǒ zhī suǒ yǐ néng zài kē xué shàng chéng gōng ， zuì zhòng yào de yì diǎn jiù shì duì kē xué de rè ài ， jiān chí cháng qī tàn suǒ,チャールズ・ダーウィン（Charles Darwin）英・生物学者,成功できた最も重要な理由は、情熱と長期的な探求の継続である。語学も長期戦であることを覚悟する。
139,🇮🇹,真理终究是藏不住的…… 谬误总是带着面具,zhēn lǐ zhōng jiū shì cáng bú zhù de ……  miù wù zǒng shì dài zhe miàn jù,レオナルド・ダ・ヴィンチ（Leonardo da Vinci）伊・芸術家・科学者,真理は隠し通せない。誤りは常に仮面をかぶっている。正しい語法や発音を追求する姿勢。
140,🇮🇹,数学是一门美丽的语言学,shù xué shì yī mén měi lì de yǔ yán xué,レオナルド・ダ・ヴィンチ（Leonardo da Vinci）伊・芸術家・科学者,数学は美しい言語学である。言語にも数学のような論理的な美しさがあること。
141,🇬🇷,学习是灵魂的食物,xué xí shì líng hún de shí wù,ソクラテス（Socrates）古代ギリシャ・哲学者,学習は魂の食べ物である。新しい言葉を学ぶことで精神が豊かになる。
142,🇬🇷,我知道我一无所知,wǒ zhī dào wǒ yī wú suǒ zhī,ソクラテス（Socrates）古代ギリシャ・哲学者,私は自分が何も知らないということを知っている（無知の知）。学習における究極の謙虚さ。
143,🇬🇷,教育不是灌输，而是点燃火焰,jiào yù bú shì guàn shū ， ér shì diǎn rán huǒ yàn,ソクラテス（Socrates）古代ギリシャ・哲学者,教育とは知識を詰め込むことではなく、炎を点火することだ。自ら進んで学ぶ情熱を持つこと。
144,🇬🇷,未经反思的生活是不值得过的,wèi jīng fǎn sī de shēng huó shì bù zhí dé guò de,ソクラテス（Socrates）古代ギリシャ・哲学者,反省のない人生は生きる価値がない。自分の学習方法や進捗を常に振り返ること。
145,🇬🇷,智慧开始于惊奇,zhì huì kāi shǐ yú jīng qí,ソクラテス（Socrates）古代ギリシャ・哲学者,知恵は驚きから始まる。未知の言語や文化に対する驚きが学習の第一歩。
146,🇬🇷,良好的开端是成功的一半,liáng hǎo de kāi duān shì chéng gōng de yí bàn,プラトン（Plato）古代ギリシャ・哲学者,良い始まりは成功の半分である。学習の初期段階でしっかりとした基礎を築くことの重要性。
147,🇬🇷,知识是灵魂的指路明灯,zhī shí shì líng hún de zhǐ lù míng dēng,プラトン（Plato）古代ギリシャ・哲学者,知識は魂の道標である。語学力が人生の選択肢を広げてくれる。
148,🇬🇷,卓越不是一种行为，而是一种习惯,zhuó yuè bú shì yī zhǒng xíng wéi ， ér shì yī zhǒng xí guàn,アリストテレス（Aristotle）古代ギリシャ・哲学者,卓越性は単発の行動ではなく、習慣である。毎日の単語学習を習慣化することの重要性。
149,🇬🇷,教育的根是苦的，但其果实是甜的,jiào yù de gēn shì kǔ de ， dàn qí guǒ shí shì tián de,アリストテレス（Aristotle）古代ギリシャ・哲学者,教育の根は苦いが、その果実は甘い。単語の暗記は辛いが、自由に話せるようになった時の喜びは大きい。
150,🇬🇷,求知是人类的本性,qiú zhī shì rén lèi de běn xìng,アリストテレス（Aristotle）古代ギリシャ・哲学者,知を求めることは人間の本性である。新しい言葉を学びたいという自然な欲求を大切にすること。
151,🇬🇷,吾爱吾师，吾更爱真理,wú ài wú shī ， wú gèng ài zhēn lǐ,アリストテレス（Aristotle）古代ギリシャ・哲学者,私は師を愛するが、それ以上に真理を愛する。教えを鵜呑みにせず、自ら正しい語法を探求する姿勢。
152,🇬🇷,给我一个支点，我就能撬动地球,gěi wǒ yí gè zhī diǎn ， wǒ jiù néng qiào dòng dì qiú,アルキメデス（Archimedes）古代ギリシャ・数学者,支点を与えられれば、地球をも動かしてみせる。確固たる基礎（文法や基本単語）があれば、どんな高度な内容も理解できる。
153,🇬🇧,时间是检验真理的最好标准,shí jiān shì jiǎn yàn zhēn lǐ de zuì hǎo biāo zhǔn,フランシス・ベーコン（Francis Bacon）英・哲学者,時間は真理を検証する最高の基準である。長期間の学習を通じて、本当に役立つ知識が定着する。
154,🇬🇧,习惯是一种顽强而巨大的力量，它可以主宰人生,xí guàn shì yī zhǒng wán qiáng ér jù dà de lì liàng ， tā kě yǐ zhǔ zǎi rén shēng,フランシス・ベーコン（Francis Bacon）英・哲学者,習慣は強大で巨大な力であり、人生を支配する。語学学習を毎日の習慣にすることの絶大な効果。
155,🇬🇧,读书使人充实，讨论使人机智，笔记使人准确,dú shū shǐ rén chōng shí ， tǎo lùn shǐ rén jī zhì ， bǐ jì shǐ rén zhǔn què,フランシス・ベーコン（Francis Bacon）英・哲学者,読書は人を豊かにし、議論は人を機敏にし、メモは人を正確にする。読む・話す・書くのバランスの取れた学習法。
156,🇬🇧,知识本身并没有告诉人们怎样运用它，运用的方法乃在书本之外,zhī shí běn shēn bìng méi yǒu gào sù rén men zěn yàng yùn yòng tā ， yùn yòng de fāng fǎ nǎi zài shū běn zhī wài,フランシス・ベーコン（Francis Bacon）英・哲学者,知識自体はその使い方を教えてくれない。使い方は実践の中にある。単語を覚えるだけでなく、実際に使ってみること。
157,🇫🇷,我思故我在,wǒ sī gù wǒ zài,ルネ・デカルト（René Descartes）仏・哲学者・数学者,我思う、故に我在り。自ら考え、理解しながら学習を進めることの重要性。
158,🇫🇷,阅读一切好书如同和过去最杰出的人谈话,yuè dú yī qiè hǎo shū rú tóng hé guò qù zuì jié chū de rén tán huà,ルネ・デカルト（René Descartes）仏・哲学者・数学者,すべての良書を読むことは、過去の最も優れた人々と対話するようなものだ。外国語での読書の価値。
159,🇫🇷,人是一根能思想的苇草,rén shì yī gēn néng sī xiǎng de wěi cǎo,ブレーズ・パスカル（Blaise Pascal）仏・数学者・哲学者,人間は考える葦である。弱くても、思考する力によって偉大な学習成果を上げることができる。
160,🇫🇷,我们必须把我们的思想建立在坚实的基础上,wǒ men bì xū bǎ wǒ men de sī xiǎng jiàn lì zài jiān shí de jī chǔ shàng,ブレーズ・パスカル（Blaise Pascal）仏・数学者・哲学者,私たちは思考を強固な基礎の上に築かなければならない。語学における基礎文法と基本単語の重要性。
161,🇬🇧,知识是一座宝库，而实践就是开启宝库的钥匙,zhī shí shì yī zuò bǎo kù ， ér shí jiàn jiù shì kāi qǐ bǎo kù de yào shi,トーマス・フラー（Thomas Fuller）英・聖職者・作家,知識は宝庫であり、実践はその宝庫を開く鍵である。学んだ単語を実際の会話で使ってみること。
162,🇬🇧,天才就是无止境刻苦勤奋的能力,tiān cái jiù shì wú zhǐ jìng kè kǔ qín fèn de néng lì,トーマス・カーライル（Thomas Carlyle）英・歴史家・評論家,天才とは、無限に努力し続ける能力のことである。語学の才能とは、継続できる力そのものである。
163,🇷🇺,没有任何力量比知识更强大，用知识武装起来的人是不可战胜的,méi yǒu rèn hé lì liàng bǐ zhī shí gèng qiáng dà ， yòng zhī shí wǔ zhuāng qǐ lái de rén shì bù kě zhàn shèng de,マクシム・ゴーリキー（Maxim Gorky）露・文豪,知識より強力な力はない。知識で武装した人間は無敵である。語学力がもたらす自信と強さ。
164,🇷🇺,书籍是人类进步的阶梯,shū jí shì rén lèi jìn bù de jiē tī,マクシム・ゴーリキー（Maxim Gorky）露・文豪,書物は人類進歩の階段である。良質なテキストや本を通じて語学力を高めていくこと。
165,🇷🇺,天才，就其本质而论，只不过是对事业、对工作过程的热爱而已,tiān cái ， jiù qí běn zhì ér lùn ， zhǐ bù guò shì duì shì yè 、 duì gōng zuò guò chéng de rè ài ér yǐ,マクシム・ゴーリキー（Maxim Gorky）露・文豪,天才の本質は、仕事やプロセスに対する愛に過ぎない。語学学習そのものを愛することが上達の近道。
166,🇷🇺,人的天才只是火花，要想使它成熊熊火焰，那就只有学习！学习！,rén de tiān cái zhǐ shì huǒ huā ， yào xiǎng shǐ tā chéng xióng xióng huǒ yàn ， nà jiù zhǐ yǒu xué xí ！ xué xí ！,マクシム・ゴーリキー（Maxim Gorky）露・文豪,人間の才能は火花に過ぎない。それを燃え盛る炎にするには、ただ学ぶことだ！
167,🇩🇪,生活就像海洋，只有意志坚强的人，才能到达彼岸,shēng huó jiù xiàng hǎi yáng ， zhǐ yǒu yì zhì jiān qiáng de rén ， cái néng dào dá bǐ àn,カール・マルクス（Karl Marx）独・哲学者・経済学者,人生は海のようなものだ。意志の強い者だけが対岸にたどり着ける。語学学習の困難を乗り越える強い意志。
168,🇩🇪,在科学上没有平坦的大道，只有不畏劳苦沿着陡峭山路攀登的人，才有希望达到光辉的顶点,zài kē xué shàng méi yǒu píng tǎn de dà dào ， zhǐ yǒu bù wèi láo kǔ yán zhe dǒu qiào shān lù pān dēng de rén ， cái yǒu xī wàng dá dào guāng huī de dǐng diǎn,カール・マルクス（Karl Marx）独・哲学者・経済学者,科学に平坦な道はない。険しい山道を苦労を恐れず登る者だけが、輝かしい頂上に到達できる。
169,🇩🇪,任何时候我也不会满足，越是多读书，就越是深刻地感到不满足，越感到自己知识贫乏,rèn hé shí hòu wǒ yě bú huì mǎn zú ， yuè shì duō dú shū ， jiù yuè shì shēn kè dì gǎn dào bù mǎn zú ， yuè gǎn dào zì jǐ zhī shí pín fá,カール・マルクス（Karl Marx）独・哲学者・経済学者,私は決して満足しない。本を読めば読むほど、自分の知識の乏しさを痛感する。常に向上心を持つこと。
170,🇫🇷,最困难的时候，也就是离成功不远的时候,zuì kùn nán de shí hòu ， yě jiù shì lí chéng gōng bù yuǎn de shí hòu,ナポレオン・ボナパルト（Napoleon Bonaparte）仏・皇帝,最も困難な時こそ、成功から遠くない時である。学習の壁にぶつかった時こそ、ブレイクスルーの直前である。
171,🇫🇷,不可能只是一个大人物的观点，而不是一个事实,bù kě néng zhǐ shì yí gè dà rén wù de guān diǎn ， ér bú shì yí gè shì shí,ナポレオン・ボナパルト（Napoleon Bonaparte）仏・皇帝,「不可能」とは偉大な人物の意見に過ぎず、事実ではない。語学習得を「不可能」と思わず挑戦すること。
172,🇫🇷,胜利属于最坚持不懈的人,shèng lì shǔ yú zuì jiān chí bù xiè de rén,ナポレオン・ボナパルト（Napoleon Bonaparte）仏・皇帝,勝利は最も粘り強い者に属する。語学学習においても、最後まで諦めない者が習得できる。
173,🇩🇪,幻想是诗人的翅膀，假设是科学家的天梯,huàn xiǎng shì shī rén de chì bǎng ， jiǎ shè shì kē xué jiā de tiān tī,ヨハン・ヴォルフガング・フォン・ゲーテ（Johann Wolfgang von Goethe）独・文豪,幻想は詩人の翼であり、仮説は科学者の梯子である。言語学習においても想像力と仮説思考が大切。
174,🇩🇪,就科学来讲，把前人获得的零星的真理找出来进一步加以发展，就是当之无愧理应受到奖赏的功劳,jiù kē xué lái jiǎng ， bǎ qián rén huò dé de líng xīng de zhēn lǐ zhǎo chū lái jìn yí bù jiā yǐ fā zhǎn ， jiù shì dāng zhī wú kuì lǐ yīng shòu dào jiǎng shǎng de gōng láo,ヨハン・ヴォルフガング・フォン・ゲーテ（Johann Wolfgang von Goethe）独・文豪,先人の知識を発展させることが功績である。既存の辞書や教材を活用して自分の語学力を高めること。
175,🇩🇪,经验是知识的唯一来源,jīng yàn shì zhī shí de wéi yī lái yuán,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,経験こそが知識の唯一の源である。実際に外国語を使ってコミュニケーションする経験の重要性。
176,🇩🇪,什么叫疯子，就是重复做同样的事情还期待会出现不同的结果,shén me jiào fēng zi ， jiù shì chóng fù zuò tóng yàng de shì qíng hái qī dài huì chū xiàn bù tóng de jié guǒ,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,狂気とは、同じことを繰り返しながら違う結果を期待することだ。学習方法がうまくいかない時は、やり方を変えるべきだという教え。
177,🇩🇪,并不是我聪明，只是我和问题相处较久,bìng bú shì wǒ cōng míng ， zhǐ shì wǒ hé wèn tí xiāng chǔ jiào jiǔ,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,私が賢いわけではない。ただ、問題と長く付き合っているだけだ。難しい文法や単語も、時間をかければ必ず理解できる。
178,🇩🇪,"知识指的是""知道某件事""，而智慧则是""理解事情的道理，并适当处理的能力""","zhī shí zhǐ de shì "" zhī dào mǒu jiàn shì ""， ér zhì huì zé shì "" lǐ jiě shì qíng de dào lǐ ， bìng shì dàng chǔ lǐ de néng lì """,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,知識とは知っていること、知恵とは道理を理解し適切に処理する能力。単語を知っているだけでなく、適切に使えるようになること。
179,🇩🇪,科学是非常爱妒忌的，科学只把最高的恩典赐给专心致志地献身于科学的人,kē xué shì fēi cháng ài dù jì de ， kē xué zhǐ bǎ zuì gāo de ēn diǎn cì gěi zhuān xīn zhì zhì dì xiàn shēn yú kē xué de rén,ルートヴィヒ・フォイエルバッハ（Ludwig Feuerbach）独・哲学者,科学は非常に嫉妬深い。専心して身を捧げる者にのみ最高の恩恵を与える。語学も集中して取り組む必要がある。
180,🇷🇺,科学需要一个人贡献出双重的精力,kē xué xū yào yí gè rén gòng xiàn chū shuāng chóng de jīng lì,イワン・パブロフ（Ivan Pavlov）露・生理学者,科学は二重のエネルギーを要求する。語学学習にも多大なエネルギーと情熱が必要である。
181,🇬🇧,"我坚持奋战五十余年，致力于科学的发展。用一个词可以道出我最艰辛的工作特点，这个词就是""失败""","wǒ jiān chí fèn zhàn wǔ shí yú nián ， zhì lì yú kē xué de fā zhǎn 。 yòng yí gè cí kě yǐ dào chū wǒ zuì jiān xīn de gōng zuò tè diǎn ， zhè ge cí jiù shì "" shī bài """,J.J.トムソン（J. J. Thomson）英・物理学者,私の最も困難な仕事の特徴は「失敗」という言葉で表せる。失敗を重ねながら言語を習得していく過程。
182,🇯🇵,科学的历史，从某种意义上说，就是错觉和失败的历史,kē xué de lì shǐ ， cóng mǒu zhǒng yì yì shàng shuō ， jiù shì cuò jué hé shī bài de lì shǐ,寺田寅彦（Torahiko Terada）日・物理学者・随筆家,科学の歴史は錯覚と失敗の歴史である。語学学習も間違いを繰り返しながら上達していく。
183,🇷🇺,应当热爱科学，因为人类没有什么力量是比科学更强大、更所向无敌的了,yīng dāng rè ài kē xué ， yīn wèi rén lèi méi yǒu shén me lì liàng shì bǐ kē xué gèng qiáng dà 、 gèng suǒ xiàng wú dí de le,マクシム・ゴーリキー（Maxim Gorky）露・文豪,科学（知識）を愛すべきだ。それより強力な力はない。語学力という強力な武器を身につけること。
184,🇷🇺,学习永远不晚,xué xí yǒng yuǎn bù wǎn,マクシム・ゴーリキー（Maxim Gorky）露・文豪,学ぶのに遅すぎることはない。何歳からでも新しい言語の学習は始められる。
185,🇷🇺,人的天才只是火花，要想使它成熊熊火焰，那就只有学习！,rén de tiān cái zhǐ shì huǒ huā ， yào xiǎng shǐ tā chéng xióng xióng huǒ yàn ， nà jiù zhǐ yǒu xué xí ！,マクシム・ゴーリキー（Maxim Gorky）露・文豪,人間の才能は火花に過ぎない。それを燃え盛る炎にするには、ただ学ぶことだ。
186,🇫🇷,我思故我在,wǒ sī gù wǒ zài,ルネ・デカルト（René Descartes）仏・哲学者,我思う、故に我在り。自ら考え、理解しながら学習を進めることの重要性。
187,🇬🇧,科学给人以确实性，也给人以力量,kē xué gěi rén yǐ què shí xìng ， yě gěi rén yǐ lì liàng,ウィリアム・ダンピア（William Dampier）英・探検家・科学者,科学は人に確実性を与え、力を与える。確かな語学力は、コミュニケーションにおける大きな力となる。
188,🇬🇧,成功的科学家往往是兴趣广泛的人,chéng gōng de kē xué jiā wǎng wǎng shì xìng qù guǎng fàn de rén,ウィリアム・ベヴァリッジ（William Beveridge）英・経済学者,成功した科学者は往々にして興味の幅が広い。語学学習においても、多様な分野への興味が語彙力を高める。
189,🇷🇺,科学给青年以营养，给老人以慰藉,kē xué gěi qīng nián yǐ yíng yǎng ， gěi lǎo rén yǐ wèi jiè,ミハイル・ロモノーソフ（Mikhail Lomonosov）露・科学者・詩人,科学（知識）は若者に栄養を与え、老人に慰めを与える。語学学習は生涯にわたって人を豊かにする。
190,🇸🇪,科学研究的进展及其日益扩充的领域将唤起我们的希望,kē xué yán jiū de jìn zhǎn jí qí rì yì kuò chōng de lǐng yù jiāng huàn qǐ wǒ men de xī wàng,アルフレッド・ノーベル（Alfred Nobel）スウェーデン・発明家,科学研究の進歩は私たちの希望を呼び覚ます。語学学習の進歩も、新たな可能性への希望を与えてくれる。
191,🇷🇺,人借助于科学，就可纠正自然界的缺陷,rén jiè zhù yú kē xué ， jiù kě jiū zhèng zì rán jiè de quē xiàn,イリヤ・メチニコフ（Ilya Mechnikov）露・生物学者,人間は科学（知識）によって自然の欠陥を修正できる。語学力によってコミュニケーションの壁を乗り越えること。
192,🇬🇧,成功的秘诀在于坚持自己的目标和信念,chéng gōng de mì jué zài yú jiān chí zì jǐ de mù biāo hé xìn niàn,ベンジャミン・ディズレーリ（Benjamin Disraeli）英・政治家,成功の秘訣は、自分の目標と信念を持ち続けることにある。語学学習の目標を明確に持ち続けること。
193,🇺🇸,一个人的成功，不是看他爬得有多高，而是看他跌倒之后能否重新站起来,yí gè rén de chéng gōng ， bú shì kàn tā pá dé yǒu duō gāo ， ér shì kàn tā diē dǎo zhī hòu néng fǒu chóng xīn zhàn qǐ lái,ヴィンス・ロンバルディ（Vince Lombardi）米・コーチ,人の成功は、どれだけ高く登ったかではなく、倒れた後に再び立ち上がれるかで測られる。学習の失敗からの立ち直り。
194,🇬🇧,语言是思想的外衣,yǔ yán shì sī xiǎng de wài yī,サミュエル・ジョンソン（Samuel Johnson）英・文学者,言語は思想の衣服である。豊かな語彙は、豊かな思想を表現する手段となる。
195,🇺🇸,一个人的成就取决于他如何利用时间,yí gè rén de chéng jiù qǔ jué yú tā rú hé lì yòng shí jiān,ベンジャミン・フランクリン（Benjamin Franklin）米・政治家・科学者,人の成就は、時間をどう活用するかにかかっている。語学学習においても、毎日の時間の使い方が重要。
196,🇺🇸,告诉我，我会忘记；教导我，我可能会记住；让我参与，我才能学会,gào sù wǒ ， wǒ huì wàng jì ； jiào dǎo wǒ ， wǒ kě néng huì jì zhù ； ràng wǒ cān yù ， wǒ cái néng xué huì,ベンジャミン・フランクリン（Benjamin Franklin）米・政治家・科学者,話して聞かせても忘れる。教えれば覚えるかもしれない。参加させれば学べる。実践的な語学学習の重要性。
197,🇺🇸,投资于知识，回报最丰厚,tóu zī yú zhī shí ， huí bào zuì fēng hòu,ベンジャミン・フランクリン（Benjamin Franklin）米・政治家・科学者,知識への投資が最も豊かなリターンをもたらす。語学学習への時間と労力の投資は最高の自己投資である。
198,🇷🇺,语言是人类最重要的交际工具,yǔ yán shì rén lèi zuì zhòng yào de jiāo jì gōng jù,ウラジーミル・レーニン（Vladimir Lenin）露・政治家,言語は人間の最も重要なコミュニケーションの道具である。語学力の習得が人間関係を豊かにする。
199,🇩🇪,科学是一种强有力的工具。怎样用它，究竟是给人带来幸福还是带来灾难，全取决于人自己，而不取决于工具,kē xué shì yī zhǒng qiáng yǒu lì de gōng jù 。 zěn yàng yòng tā ， jiū jìng shì gěi rén dài lái xìng fú hái shì dài lái zāi nàn ， quán qǔ jué yú rén zì jǐ ， ér bù qǔ jué yú gōng jù,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,科学は強力な道具である。それをどう使うかは人間次第だ。語学力も使い方次第で人を幸せにも不幸にもできる。
200,🇮🇹,只有受过教育的人才是自由的,zhǐ yǒu shòu guò jiào yù de rén cái shì zì yóu de,エピクテトス（Epictetus）古代ローマ・哲学者,教育を受けた者だけが自由である。語学力を身につけることで、世界中どこでも自由に生きられる。
