c_word,j_word,c_sentence,j_sentence,english sentence,pinyin
从来,これまでずっと,我从来没见过。,私は一度も見たことがない。,I have never seen it.,cónglái
当时,当時,我当时很生气。,私は当時とても怒っていました。,I was very angry at the time.,dāng shí
果然,やはり,果然是他。,やはり彼だ。,It is him after all.,guǒ rán
后来,その後,后来我们结婚了。,その後、私たちは結婚しました。,"After that, we got married.",hòulái
即使,たとえ〜でも,即使下雨，我也去。,たとえ雨が降っても、私は行きます。,"Even if it rains, I will go.",jí shǐ
既然,〜するからには,既然这样，,そういうことなら、,"If that's the case,",jì rán
尽管,〜にもかかわらず,尽管很困难。,困難であるにもかかわらず。,Despite the difficulty.,jǐnguǎn / jìnguǎn
竟然,意外にも,他竟然来了。,彼が来るとは意外だ。,It is surprising that he came.,jìng rán
究竟,結局のところ,你究竟去不去？,あなたはいったい行くのですか、行かないのですか？,Are you going or not going?,jiūjìng
不过,しかし,不过没关系。,でも、大丈夫です。,But it's okay.,búguò
可是,しかし,我去了，可是他不在。,私は行きましたが、彼は不在でした。,"I went, but he wasn't there.",kěshì
然而,しかし,我爱他，然而他却不爱我。,私は彼を愛しているが、彼は私を愛していない。,"I love him, but he doesn't love me.",rán'ér
连,続けて,我连他都不认识。,私は彼のことさえ知りません。,I don't even know him.,lián / Lián
另外,別の,另外，我有点饿。,それに、少しお腹が空きました。,"Besides, I'm a little hungry.",lìngwài
偶尔,たまたま,我偶尔吃辣。,私は時々辛いものを食べます。,I sometimes eat spicy food.,ǒu'ěr
却,むしろ,他却没来。,彼は来なかった。,He didn't come.,què
仍然,相変わらず,他仍然很帅。,彼はやはりかっこいい。,He is still cool.,réngrán
随便,かまわない,你随便说吧。,適当に言ってください。,Please say whatever comes to mind.,suíbiàn
随着,〜につれて,随着时间的推移。,時が経つにつれて。,As time goes by.,suízhe
通过,〜を通して,我通过考试了。,試験に合格しました。,I passed the exam.,tōng guò
无论,どんなに〜でも,无论如何。,どうしても。,No matter what.,wúlùn
相反,反対に,他们的意见相反。,彼らの意見は反対です。,Their opinions are opposite.,xiāng fǎn
以,〜によって,以你的方式,あなたのやり方で,In your own way,yǐ
因此,そのため,因此，我迟到了。,そのため、遅刻しました。,"Therefore, I was late.",yīncǐ
由,〜に任せる,这由你决定。,それはあなたが決めることです。,It's your decision.,yóu
由于,〜の理由で,由于下雨。,雨のため。,Because of the rain.,yóu yú
尤其,特に,我尤其喜欢你。,私は特にあなたが大好きです。,I especially love you.,yóuqí
于是,そこで,他笑了，于是我也笑了。,彼は笑ったので、私も笑いました。,"He laughed, so I laughed too.",yú shì
与,〜と,我与你合作。,私はあなたと協力します。,I will cooperate with you.,"yǔ (yú, yù)"
原来,もともと,原来如此。,なるほど。,I see.,yuánlái
按时,時間通り,请按时完成。,時間通りに完成させてください。,Please finish it on time.,àn shí
按照,〜に従って,按照规定。,規定通りに。,According to the regulations.,ànzhào
本来,本来は,我本来不知道。,私はもともと知りませんでした。,I didn't know originally.,běn lái
不得不,止むを得ず,我不得不走了。,私は行かなくてはなりません。,I have to go.,bù dé bù
超过,超える,不要超过八点。,8時を過ぎないでください。,Please do not be later than 8 o'clock.,chāoguò
大概,だいたい,他大概在家。,彼はたぶん家にいる。,He is probably home.,dàgài
大约,おおよそ,大约八点来。,だいたい8時に来ます。,I usually come at 8 o'clock.,dàyuē
到底,一体,你到底去不去?,結局、行くの行かないの？,"Are you going or not, in the end?",dàodǐ
得,しなければいけない,他跑得很快。,彼は速く走ります。,He runs fast.,"dé, de, děi"
掉,なくなる,钥匙掉了。,鍵をなくした。,I lost my key.,diào
顿,〜回（食事の回数）,我顿了一下。,私は少し立ち止まった。,I stopped for a moment.,"dùn (dun4), zhūn (zhun1), dú (du2)"
份,部（書類を数える）,我买了两份。,私は二つ買いました。,I bought two.,fèn (fen4)
场,〜回（現象を数える）,这是一场比赛。,これは試合です。,This is a match.,chǎng
趟,回（往復するものを数える）,你跑一趟吧,行ってきてください。,Please go and come back.,"tàng, tāng"
朵,輪（花を数える）,一朵云飘走了。,一輪の雲が漂っていきました。,A cloud drifted by.,duǒ
遍,回(動作の回数を数える),你读一遍。,一度読んでください。,Please read it once.,biàn
座,棟(建物を数える),那座山很高。,あの山はとても高いです。,That mountain is very high.,zuò
而,その上,他高而瘦。,彼は背が高くて痩せている。,He is tall and thin.,ér
刚刚,〜したばかりである,我刚刚到家。,私はちょうど家に帰ったところです。,I just got home.,gāng gāng
各,それぞれ,每个人都有各自的爱好。,誰もがそれぞれの趣味を持っています。,Everyone has their own hobbies.,gè
够,足りる,钱够了吗？,お金は足りますか？,Do you have enough money?,gòu
过,通過する,我以前来过。,以前、来たことがあります。,I have been here before.,guò
好像,〜のようだ,他好像病了。,彼は病気のようです。,He seems ill.,hǎoxiàng
忽然,急に,他忽然笑了。,彼は突然笑った。,He suddenly laughed.,hūrán
互相,お互いに,我们互相学习。,私たちはお互いに学びます。,We learn from each other.,hùxiāng
肯定,きっと,我肯定他会来。,彼はきっと来るでしょう。,He will come all right.,kěndìng
恐怕,おそらく,恐怕来不及了。 (kǒngpà lái bù jí le.),"たぶん間に合わないでしょう。
または
間に合わない恐れがあります。","We probably won't make it. Or, there is a risk that we won't make it.",kǒngpà
来不及,間に合わない,来不及走了。,間に合わなくて行けません。,"I couldn't make it in time, so I can't go.",láibùjí
来得及,間に合う,现在去还来得及。,今から行ってもまだ間に合います。,We can still make it even if we leave now.,lái de jí
例如,例えば,例如，饺子。,例えば、餃子。,"For example, gyoza.",lìrú
满,満ちている,"我很满意。
(Wǒ hěn mǎnyì.)",満足しています。,I am satisfied.,mǎn
难道,まさか〜ではあるまい,难道你不去吗？,まさかあなたはいかないのですか？,"You're not going, are you?",nándào
其次,その次,其次，我来介绍。,次に、私が紹介します。,"Next, I will introduce myself/it.",qícì
其中,その中で,其中一个。,その一つ。,One of them.,qí zhōng
起来,上がる,快点起来。,早く起きて。,Wake up early.,qǐlái
千万,絶対に,你千万别忘了。,絶対に忘れないでください。,Please do not forget this under any circumstances.,qiānwàn
甚至,〜でさえ,甚至不知道。,知ることさえなかった。,I didn't even know.,shènzhì
十分,十分に,他十分高兴。,彼はとても喜んでいます。,He is very happy.,shí fēn
实际,実際の,实际情况。,実際の状況。,The actual situation.,shíjì
实在,本当に,我实在太忙了。,本当に忙しすぎます。,I am truly too busy.,shízài
顺便,ついでに,我顺便买点菜。,ついでに野菜を買っていきます。,I'll pick up some vegetables while I'm at it.,shùnbiàn
算,〜と見なす,算我一个吧。,私を一人に数えてください。,Count me in.,suàn
完全,完全に,我完全同意。,全く同感です。,I completely agree.,wán quán
往,〜へ向かって,往右拐。,右に曲がって。,Turn right.,wǎng
往往,しばしば,她往往很忙。,彼女はたいてい忙しいです。,She is usually busy.,wǎngwǎng
许多,たくさん,我有很多朋友。,私には友達がたくさんいます。,I have many friends.,xǔ duō
也许,〜かもしれない,我也许会去。,私はたぶん行くでしょう。,I will probably go.,yěxǔ
一切,全て,一切都好。,全て順調です。,Everything is fine.,yī qiè
暂时,しばらく,暂时休息一下。,少し休んでください。,Please rest for a while.,zàn shí
真正,本当の,他真正爱她。,彼は本当に彼女を愛している。,He truly loves her.,zhēn zhèng
只,ただ〜だけだ,我有一只猫。,私は猫を一匹飼っています。,I have one cat.,zhǐ
只好,やむを得ず〜する,我只好回家。,私は家に帰るしかなかった。,I had no choice but to go home.,zhǐhǎo
只要,〜さえすれば,只要努力，就会成功。,努力しさえすれば、成功するでしょう。,"If you just try hard, you will succeed.",zhǐyào
至少,少なくとも,至少需要三天。,少なくとも三日間必要です。,It will take at least three days.,zhì shǎo
逐渐,だんだん,天气逐渐变冷了。,だんだん寒くなってきました。,It's gotten cold gradually.,zhú jiàn
儿童,子供,儿童节快乐！,児童節おめでとうございます。,Happy Children's Day.,értóng
安全,安全,注意安全。,安全を心掛ける。,Be careful about safety.,ān quán
爱情,愛,爱情是很美好的。,愛はとても美しいです。,Love is very beautiful.,àiqíng
尊重,尊敬,我们互相尊重。,私たちは互いに尊重し合っています。,We respect each other.,zūnzhòng
租,賃貸する,我想租一套房。,一軒家を借りたいです。,I want to rent a detached house.,zū (zu1)
责任,責任,"这是我的责任。
(Zhè shì wǒ de zérèn.)",私の責任です。,It's my responsibility.,zérèn
杂志,雑誌,我看杂志。,私は雑誌を読みます。,I read magazines.,zázhì
座位,座席,请问有空座位吗？,空いている席はありますか？,Are there any seats available?,zuòwèi
做生意,商売をする,我想做生意。,私は商売をしたいです。,I want to do business.,zuò shēng yì
乒乓球,卓球,我喜欢打乒乓球。,私はピンポンをするのが好きです。,I like playing ping-pong.,pīngpāngqiú
羽毛球,バドミントン,打羽毛球。,バドミントンをする。,Play badminton.,yǔmáoqiú
网球,テニス,我喜欢打网球。,私はテニスをするのが好きです。,I like playing tennis.,wǎng qiú
态度,態度,他的态度很好。,彼の態度はとても良いです。,His attitude is very good.,tàidu
最好,〜するのが最も良い,你最好别去。,行かないほうがいいよ。,You shouldn't go.,zuìhǎo
主意,しっかりした考え,这个主意很好。,このアイデアはとても良いです。,This idea is very good.,zhǔ​yi
主动,主体的である,主动跟她打招呼。,自分から彼女に挨拶をした。,I greeted her myself.,zhǔ dòng
著名,有名である,他的画很著名。,彼の絵はとても有名です。,His painting is very famous.,zhùmíng
周围,周りに,周围很安静。,周りは静かです。,The surroundings are quiet.,zhōuwéi
语言,言語,学习一门语言。,言語を学ぶ。,Learn a language.,yǔyán
中文,中国語,我喜欢学中文。,私は中国語を学ぶのが好きです。,I like learning Chinese.,zhōngwén
语法,文法、語法,他的语法很好。,彼の文法はとても良いです。,His grammar is very good.,yǔ fǎ
重点,重要な、重点的な,这是重点。,これは重点です。,This is the key point.,zhòngdiǎn
知识,知識,学习新知识。,新しい知識を学ぶ。,Learn new knowledge.,zhī shi
之,〜の,一举两得之计,一挙両得の計,The plan to kill two birds with one stone.,zhī
指,示す,请指出正确答案。,正しい答えを指摘してください。,Please point out the correct answer.,zhǐ
质量,品質,质量非常好。,品質が非常に良いです。,The quality is very good.,zhìliàng
植物,植物,我喜欢植物。,私は植物が好きです。,I like plants.,zhíwù
棵,木,一棵树很高。,一本の木が高いです。,A tree is tall.,kē
叶子,葉,树上有很多叶子。,木にはたくさんの葉があります。,There are many leaves on the tree.,yèzi
直接,直接的である,你可以直接去。,あなたは直接行くことができます。,You can go directly.,zhíjiē
正式,正式の、公式の,他们正式结婚了。,彼らは正式に結婚しました。,They formally got married.,zhèngshì
正确,正確,这个答案是正确的。,この答えは正しいです。,This answer is correct.,zhèngquè
窄,狭い,这条街很窄,この道はとても狭いです,This road is very narrow.,zhǎi
优秀,優秀,他非常优秀。,彼はとても優秀です。,He is very excellent.,yōuxiù
幽默,ユーモアある,他很有幽默感。,彼はユーモアのセンスがある。,He has a sense of humor.,yōumò
优点,長所、メリット,发扬优点,長所を発揮する,Utilize one's strengths.,yōudiǎn
友谊,友情,我们的友谊地久天长。,私たちの友情は永遠に続く。,Our friendship will last forever.,yǒuyì
友好,友好的である,两国关系友好。,両国の関係は友好的です。,The relationship between the two countries is friendly.,yǒuhǎo
勇敢,勇敢である,他非常勇敢。,彼はとても勇敢です。,He is very brave.,yǒnggǎn
艺术,芸術,这是一种艺术。,これは一つの芸術です。,This is an art.,yì shù
印象,印象,我对他的印象很好。,私は彼にとても良い印象を持っています。,I have a very good impression of him.,yìnxiàng
意见,意見,我有不同意见。,私は異なる意見を持っています。,I have a different opinion.,yìjiàn
羡慕,羨ましくおもう,我很羡慕你。,あなたが羨ましいです。,I'm jealous of you.,xiàn mù
亿,億,这个数字有十亿。,この数字は10億です。,This number is one billion.,yì
赢,勝つ,我们赢了比赛。,私たちは試合に勝ちました。,We won the game.,yíng
页,ページ,请翻到下一页。,次のページを開いてください。,Please open the next page.,yè
压力,圧力,工作压力很大。,仕事のプレッシャーが大きいです。,The pressure of work is great.,yālì
演员,出演者,他是一位好演员。,彼は良い俳優です。,He is a good actor.,yǎnyuán
演出,演出,这次演出很精彩。,今回の公演はとても素晴らしかった。,This performance was wonderful.,yǎn chū
亚洲,アジア,亚洲很大。,アジアはとても広いです。,Asia is very wide/large.,Yàzhōu
钥匙,鍵,我忘了带钥匙。,鍵を持ってくるのを忘れました。,I forgot to bring the key.,yàoshi
样子,様子,你真可爱的样子。,あなたは本当に可愛らしいね。,You really are cute.,yàngzi
阳光,日光,阳光很温暖。,日差しがとても暖かいです。,The sunlight is very warm.,yángguāng
盐,塩,菜里没有盐。,料理に塩が入っていません。,There is no salt in the dish.,yán
牙膏,歯磨き粉,我买了牙膏。,私は歯磨き粉を買いました。,I bought toothpaste.,yá gāo
原因,原因、理由,找出原因。 (6文字),原因を見つけ出す。,Find out the cause.,yuányīn
圆,円い、円形である,月亮很圆。,月はとても丸いです。,The moon is very round.,yuán
呀,ね,好棒呀!,すごいね！,Amazing!,ya
洗衣机,洗濯機,这台洗衣机很好。,この洗濯機はとても良いです。,This washing machine is very good.,xǐyījī
信用卡,クレジットカード,我用信用卡。,クレジットカードを使います。,I will use a credit card.,xìn yòng kǎ
性格,性格,她的性格很好。,彼女は性格がとても良いです。,She has a very good personality.,xìnggé
性别,性別,请问你的性别。,あなたの性別をお伺いします。,May I ask your gender?,xìngbié
血,血液,验血结果很好。,血液検査の結果はとても良いです。,The results of the blood test are very good.,xuè / xiě
消息,ニュース、報道,我听到消息了。,ニュースを聞きました。,I listened to the news.,xiāoxi
小说,小説,我喜欢看小说。,私は小説を読むのが好きです。,I like reading novels.,xiǎo shuō
笑话,冗談、笑い話,这个笑话很好笑。,この冗談はとても面白いです。,This joke is very interesting.,xiàohua
效果,効果、結果,效果很好。,効果はとても良い。,The effect is very good.,xiàoguǒ
现代,近代的、現代,现代艺术怎么样？,現代アートはどうですか？,What about modern art?,xiàndài
详细,詳細,请详细说明。,詳しく説明してください。,Please explain in detail.,xiáng xì
咸,しょっぱい,这个菜有点咸。,この料理は少し塩辛いです。,This dish is a little salty.,xián
污染,汚染する,空气污染严重。,空気汚染がひどい。,The air pollution is terrible.,wūrǎn
误会,誤解,你误会了。,誤解ですよ。,It's a misunderstanding.,wù huì
无聊,退屈である、つまらない,我感到很无聊。,私はとても退屈です。,I am very bored.,wú liáo
温度,温度,今天温度很高。,今日はとても気温が高いです。,The temperature is very high today.,wēn dù
文章,記事、文章,这篇文章很有意思。,この記事はとても興味深いです。,This article is very interesting.,wén zhāng
网站,ウェブサイト,我有一个网站。,私にはウェブサイトがあります。,I have a website.,wǎngzhàn
袜子,靴下,我穿白袜子。,私は白い靴下を履いています。,I am wearing white socks.,wà zi
通知,お知らせ、通知,通知你一个好消息。,良い知らせがあります。,I have good news.,tōngzhī
特点,特色、特徴,他的特点很多。,彼の特徴はたくさんあります。,He has many characteristics.,tè diǎn
汤,スープ,我想喝点汤。,スープが飲みたい。,I want soup.,tāng
台,台（乗り物を数える）,一台电脑很贵。,一台のコンピューターはとても高いです。,One computer is very expensive.,tái
抬,顔を上げる/持ち上げる,把桌子抬起来。,テーブルを持ち上げてください。,Please lift the table.,tái
条件,条件,符合所有条件。,全ての条件を満たしています。,All conditions have been met.,tiáojiàn
塑料袋,ポリ袋/レジ袋,我不用塑料袋。,私はビニール袋を使いません。,I don't use plastic bags.,sù liào dài
速度,速度、スピード,提高速度。,速度を上げる。,Increase speed.,sùdù
自然,自然に,我喜欢大自然。,私は自然が好きです。,I like nature.,zìrán
森林,森,我爱这片森林。,私はこの森が大好きです。,I love this forest very much.,sēn lín
所有,全ての,我拥有所有。,私は全てを持っている。,I have everything.,suǒyǒu
酸,酸っぱい,这个苹果很酸。,このりんごはとても酸っぱい。,This apple is very sour.,suān
数字,数字,这个数字很大。,この数字はとても大きいです。,This number is very large.,shù zì
顺序,順序、順番．,请按顺序排队。,順番に並んでください。,Please line up in order.,shùnxù
数量,数量,数量有点少。,量が少し少ないです。,The amount is a little small.,shù liàng
收入,収入,他的收入很高。,彼の収入はとても高いです。,His income is very high.,shōurù
首都,首都,北京是中国的首都。,北京は中国の首都です。,Beijing is the capital of China.,shǒudū
师傅,運転手さん/職人さん,师傅，请问厕所在哪儿？,すみません、お手洗いはどこですか？,"Excuse me, where is the restroom?",shī fu
世纪,世紀,二十一世纪,21世紀,21st century,shìjì
市场,市場,市场很大。,市場はとても大きいです。,The market is very big.,shìchǎng
食品,食品,这种食品很安全。,この食品はとても安全です。,This food is very safe.,shí pǐn
生命,生命,生命是美好的。,命は美しい。,Life is beautiful.,shēngmìng
生活,生活,我喜欢简单的生活。,私はシンプルな生活が好きです。,"I prefer a simple living, without too much luxury.",shēnghuó
深,深い,这湖水很深。,この湖の水はとても深い。,The water in this lake is very deep.,shēn
社会,社会,社会在发展。,社会は発展しています。,Society is developing.,shè huì
沙发,ソファ,我坐在沙发上。,私はソファーに座っています。,I am sitting on the sofa.,shāfā
说明,説明,请说明一下。,説明してください。,Please explain.,shuōmíng
帅,カッコいい,他看起来很帅。,彼は格好良く見えます。,He looks cool.,shuài
入口,入口,入口在哪儿？,入口はどこですか？,"Excuse me, where is the entrance?",rù kǒu
日记,日記,我写了一篇日记。,私は日記を書きました。,I wrote a diary.,rìjì
任务,任務,我有一个任务。,私には一つの任務があります。,I have one mission.,rènwu
任何,いかなる、どのような,任何人都可以。,誰でもいいです。,Anyone is fine.,rèn hé
人民币,人民元,我要换人民币。,人民元に両替したいです。,I would like to exchange money for Chinese Yuan.,rénmínbì
软,軟らかい,这床很软。,このベッドはとても柔らかいです。,This bed is very soft.,ruǎn
群,群れ、群,一群鸟飞走了。,鳥の群れが飛び去りました。,A flock of birds flew away.,qún
气候,気候,这里的气候很好。,ここの気候はとても良いです。,The climate here is very good.,qìhòu
情况,状況、事態,情况很复杂。,状況はとても複雑です。,The situation is very complicated.,qíngkuàng
缺点,欠点、短所,他的缺点很多。,彼には欠点が多いです。,He has many faults.,quēdiǎn
全部,完成、全部,我们全部同意。,私たちは全員同意します。,We all agree.,quánbù
敲,たたく,敲门声很响。,ドアをノックする音がとても大きいです。,The sound of knocking on the door is very loud.,qiāo
签证,査証、ビザ．,我的签证办好了。,私のビザは手続きが終わりました。,My visa procedures are complete.,qiānzhèng
桥,橋,我们过桥吧。,橋を渡りましょう。,Let's cross the bridge.,qiáo
墙,壁,墙上有画。,壁に絵があります。,There is a picture on the wall.,qiáng
脾气,気性、性質,脾气很好。,彼は気立てがいい。,He has a good disposition.,pí qi
瓶子,ボトル,这个瓶子是空的。,この瓶は空です。,This bottle is empty.,píngzi
平时,いつも,我平时很忙。,私は普段とても忙しいです。,I'm usually very busy.,píng shí
皮肤,皮膚,我的皮肤很干。,私の肌はとても乾燥しています。,My skin is very dry.,pífū
篇,本(文章を数える),一篇新闻报道,ニュース記事一つ,one news article,piān
农村,農村、田舎,我住在农村。,私は田舎に住んでいます。,I live in the countryside.,nóng cūn
内容,内容,内容很丰富。,内容はとても豊富です。,The content is very rich.,nèiróng
能力,能力,他的学习能力很强。,彼の学習能力はとても高いです。,His learning ability is very high.,néng lì
年龄,年齢,请问你的年龄？,おいくつですか？,How old are you?,niánlíng
目的,目的,他的目的是学习。,彼の目的は勉強することです。,His goal is to study.,mù dì
密码,パスワード,我的密码是六位。,私のパスワードは6桁です。,My password is 6 digits.,mìmǎ
民族,国家、民族,每个国家都有自己的民族。,全ての国にはそれぞれの民族があります。,Every country has its own ethnic group.,mín zú
美丽,美しい,她很美丽。,彼女はとても美しいです。,She is very beautiful.,měilì
梦,夢,我做了一个梦。,夢を見ました。,I had a dream.,mèng
毛巾,タオル,我买了一条毛巾。,私はタオルを一枚買いました。,I bought one towel.,máo jīn
理想,理想的,你有理想吗？,あなたは理想を持っていますか？,Do you have ideals?,lǐ xiǎng
礼貌,礼儀,他很有礼貌。,彼はとても礼儀正しいです。,He is very polite.,lǐ mào
冷静,冷静だ,你需要保持冷静。,落ち着いていなさい。,Stay calm.,lěng jìng
垃圾桶,ゴミ箱,把垃圾扔进垃圾桶。,ごみをゴミ箱に捨ててください。,Please throw your trash in the trash can.,lājītǒng
老虎,虎,我很怕老虎。,私は虎がとても怖いです。,I am very afraid of tigers.,lǎohǔ
浪漫,ロマンチック,我喜欢浪漫。,私はロマンチックなものが好きです。,I like romantic things.,làngmàn
浪费,浪費する,不要浪费时间。,時間を無駄にしないでください。,Don't waste time.,làngfèi
流利,流暢だ,说得很流利。,とても流暢に話しました。,Spoke very fluently.,liúlì
亮,明るい,灯光很亮。,明かりがとても明るいです。,The light is very bright.,liàng (liang4)
凉快,涼しい,今天很凉快。,今日はとても涼しい。,It is very cool today.,liángkuai
困难,困難,这个问题很困难。,この問題は難しいです。,This problem is difficult.,kùnnan
空气,空気,空气很新鲜。,空気がとても新鮮です。,The air is very fresh.,kōngqì
咳嗽,咳,她一直在咳嗽。,彼女はずっと咳をしています。,She has been coughing for a long time.,ké sou
距离,距離,我们距离很近。,私たちはとても近いです。,We are very close.,jù lí
京剧,京劇,我喜欢看京剧。,私は京劇を見るのが好きです。,I like watching Peking Opera.,Jīngjù
积极,積極的な、ポジティブな,他态度很积极。,彼はとても積極的です。,He is very positive.,jījí
紧张,緊張,我有点紧张。,少し緊張しています。,I am a little nervous.,jǐnzhāng
禁止,禁止,禁止吸烟。,禁煙,No Smoking!,jìn zhǐ
镜子,鏡,你照镜子了吗？,鏡を見たの？,Did you look in the mirror?,jìng zi
竞争,競争,我们互相竞争。,私たちは互いに競争し合っています。,We are competing with each other.,jìngzhēng
结果,結果,结果很好。,結果は良いです。,The result is good.,jiē guǒ
加油站,ガソリンスタンド,我在加油站。,私はガソリンスタンドにいます。,I am at the gas station.,jiā yóu zhàn
交通,交通,交通很方便。,交通はとても便利です。,エラーが発生しました。もう一度お試しください。,jiāotōng
将来,将来,我希望将来。,私は将来を願っています。,I wish for the future.,jiānglái
家具,家具,我们买家具了。,私たちは家具を買いました。,We bought furniture.,jiā・jù
假,偽物,别装假。,偽装しないで。,Don't disguise it.,jiǎ
价格,価格,价格很便宜。,価格はとても安いです。,The price is very cheap.,jià gé
厚,厚い,这件衣服很厚。,この服はとても厚いです。,This clothing is very thick.,hòu
盒子,箱,这个盒子很漂亮。,この箱はきれいです。,This box is clean.,hé zi
合格,合格する,考试合格了吗?,試験に合格しましたか。,Did you pass the exam?,hégé
好处,メリット,多吃蔬菜有好处。,野菜をたくさん食べると良いことがあります。,It is good to eat a lot of vegetables.,hǎochù
海洋,海洋,我喜欢看海洋。,私は海を見るのが好きです。,I like to look at the sea.,hǎiyáng
号码,番号,你的号码是多少？,あなたの番号は何ですか？,What is your number?,hàomǎ
害羞,恥ずかしがる,她有点害羞。,彼女は少し恥ずかしがり屋です。,She is a little shy.,hàixiū
寒假,冬休み,寒假快到了。,冬休みがもうすぐです。,Winter vacation is coming soon.,hánjià
火,火災,着火了，快跑！,火事だ、早く逃げろ！,"There's a fire, run quickly!",huǒ
活泼,活発,她很活泼。,彼女はとても活発です。,She is very active.,huópō
回忆,記憶,我喜欢回忆过去。,私は過去を振り返るのが好きです。,I like looking back on the past.,huí yì
公里,キロ、km,我家离公司五公里。,私の家は会社から5キロメートル離れています。,My house is 5 kilometers away from the company.,gōnglǐ
购物,買い物,我想去购物。,私は買い物に行きたいです。,I want to go shopping.,gòuwù
个子,身長、背格好,她的个子很高。,彼女は背が高いです。,She is tall.,gèzi
干燥,乾燥している,天气非常干燥。,天気がとても乾燥しています。,The weather is very dry.,gān zào
干杯,乾杯,为我们的友谊干杯！,私たちの友情に乾杯！,A toast to our friendship!,gān//bēi
国际,国際,这是一个国际问题。,これは国際的な問題です。,This is an international issue.,guójì
观众,聴衆,观众很激动。,観客はとても興奮している。,The audience is very excited.,guān zhòng
关键,要、鍵,这是关键。,これは鍵です。,This is a key.,guānjiàn
光,明かり/〜し尽くす,房间里有光。,部屋に光がある。,There is light in the room.,guāng
复杂,複雑,这太复杂了。,これは複雑すぎます。,This is too complicated.,fùzá
复印,コピーする,我想复印一下。,コピーしたいです。,I would like to make a copy.,fùyìn
富,豊か,他很富有。,彼はとても裕福です。,He is very wealthy.,fù
否则,さもなければ,快走，否则来不及了。,早く行って、さもないと間に合わないよ。,"Hurry up, or you won't make it.",fǒu zé
风景,風景,这儿的风景很美。,ここの景色はとても美しいです。,The scenery here is very beautiful.,fēng jǐng
丰富,豊富,经验很丰富。,経験が豊富です。,I have rich experience.,fēng fù
方向,方向,方向错了。,方向が違います。,That's the wrong direction.,fāngxiàng
方面,方面、領域,这方面的问题。,この方面の問題。,Problems in this area.,fāngmiàn
方法,方法,这是一个好方法。,これは良い方法です。,This is a good method.,fāngfǎ
心情,気持ち、気分,我今天心情很好。,今日は気分が良いです。,I feel good today.,xīnqíng
感谢,感謝,非常感谢你。,どうもありがとうございます。,Thank you very much.,gǎnxiè
精神,精神/元気がある,他的精神很好。,彼は元気です。,He is fine.,jīng shén
可怜,かわいそう,他看起来很可怜。,彼はとてもかわいそうに見えます。,He looks very pitiful.,kělián
可惜,惜しい、残念である,那太可惜了。,それは残念です。,That's too bad.,kěxī
困,眠い,我有点困了。,少し眠いです。,I am a little sleepy.,kùn
难受,苦しい、つらい,我感觉很难受。,気分がとても悪いです。,I feel very unwell.,nánshòu
轻松,リラックス,学习很轻松。,勉強はとても楽です。,Studying is very easy.,qīngsōng
