No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
133,旧,jiù,old; opposite: new 新; former; worn (with age),古い,这是旧书。,これは古い本です。,This is an old book.,这件旧衣服我已经不穿了。,この古い服はもう着ていません。
134,句子,jù zi,sentence; CL:个,文,请写句子。,文を書いてください。,Please write a sentence.,请用这个句子练习中文。,この文を使って中国語を練習してください。
135,决定,jué dìng,"to decide (to do something); to resolve; decision; certainly; CL:个,项[xiang4]",決定する,我决定去北京。,私は北京に行くことに決めました。,I decided to go to Beijing.,我决定明年去中国旅游。,私は来年中国へ旅行に行くことに決めました。
136,可爱,kě ài,amiable; cute; lovely,かわいい,小猫很可爱。,子猫はとてもかわいいです。,The kitten is very cute.,那个小猫非常可爱，大家都喜欢。,あの子猫はとても可愛くて、みんなに好かれています。
137,渴,kě,thirsty,のどが渇く,我渴了，喝水。,私は喉が渇いたので、水を飲みます。,"I'm thirsty, so I drink water.",我渴了，可以给我一点水吗？,喉が渇きました。少し水をもらえますか？
138,刻,kè,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,刻,现在三刻了。,今は三刻です。,It is now three quarters past (the hour).,现在是三点整，我们开会吧。,今はちょうど3時です。会議を始めましょう。
139,客人,kè rén,visitor; guest; customer; client; CL:位[wei4],客,客人来了。,お客さんが来ました。,The guest has arrived.,客人到了，我们去迎接他们。,お客さんが来たので、迎えに行きましょう。
140,空调,kōng tiáo,air conditioning,エアコン,房间有空调。,部屋にはエアコンがあります。,There is air conditioning in the room.,夏天没有空调很难受。,夏はエアコンがないととても辛いです。
141,口,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)",口,他有三个口。,彼には三つの口があります。,He has three mouths.,他说话时嘴里含着口香糖。,彼は話すときに口にガムを含んでいます。
142,哭,kū,to cry; to weep,泣く,孩子哭了。,子供が泣きました。,The child cried.,小孩子因为受伤而哭了。,子供はけがをして泣きました。
143,裤子,kù zi,trousers; pants; CL:条[tiao2],ズボン,我买了裤子。,私はズボンを買いました。,I bought pants.,这条裤子很合适你的尺寸。,このズボンはあなたのサイズにぴったりです。
144,筷子,kuài zi,"chopsticks; CL:对[dui4] ,根[gen1] ,把[ba3] ,双[shuang1]",箸,用筷子吃饭。,箸を使ってご飯を食べます。,Eat with chopsticks.,请用筷子吃饭，这是中国的习惯。,箸を使って食事をしてください。これは中国の習慣です。
145,蓝,lán,blue; indigo plant,青い,天空很蓝。,空はとても青いです。,The sky is very blue.,天空很蓝，适合出去玩。,空はとても青くて、遊びに行くのに適しています。
146,老,lǎo,old (of people); venerable (person); prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,年老,他是个老人。,彼は老人です。,He is an old man.,他是一位经验丰富的老老师。,彼は経験豊富なベテランの先生です。
147,离开,lí kāi,to depart; to leave,離れる,我要离开了。,私はもうすぐ出発します。,I am about to leave.,我们明天早上八点离开酒店。,私たちは明日の朝8時にホテルを出発します。
148,礼物,lǐ wù,"gift; present; CL:件[jian4] ,个,份[fen4]",贈り物,这是我的礼物。,これは私のプレゼントです。,This is my gift.,这是我送给你的礼物，请收下。,これはあなたへの贈り物です。どうぞ受け取ってください。
149,历史,lì shǐ,"History; CL:门[men2] ,段[duan4]",歴史,历史很有趣。,歴史はとても面白いです。,History is very interesting.,我喜欢学习中国的历史和文化。,私は中国の歴史と文化を学ぶのが好きです。
150,脸,liǎn,"face; CL:张[zhang1] ,个",顔,他的脸红了。,彼の顔が赤くなりました。,His face turned red.,她的脸上露出了开心的笑容。,彼女の顔に嬉しそうな笑顔が浮かんだ。
151,练习,liàn xí,exercise; drill; practice; CL:个,練習,我每天练习汉字。,私は毎日漢字を練習します。,I practice Chinese characters every day.,每天练习汉语口语可以提高你的发音。,毎日中国語の会話練習をすると発音が上達します。
152,辆,liàng,classifier for vehicles,台（車の量詞）,我有一辆自行车。,私は自転車を一台持っています。,I have a bicycle.,小区里有三辆自行车停在门口。,住宅街には3台の自転車が入り口に停まっています。
153,聊天,liáo tiān,to chat; to gossip,おしゃべり,我们喜欢聊天。,私たちはおしゃべりが好きです。,We like chatting.,我们每天晚上都会在微信上聊天。,私たちは毎晩WeChatでおしゃべりします。
154,了解,liǎo jiě,to understand; to realize; to find out,理解,我了解这个意思。,私はこの意味を理解しています。,I understand this meaning.,了解你的兴趣爱好对交朋友很重要。,あなたの趣味を理解することは友達作りにとても重要です。
155,邻居,lín jū,neighbor; next door; CL:个,隣人,我的邻居很友好。,私の隣人はとても親切です。,My neighbor is very friendly.,我们的邻居非常友好，经常帮忙照顾花草。,私たちの隣人はとても親切で、よく花や草の世話を手伝ってくれます。
156,留学,liú xué,to study abroad,留学,她去美国留学。,彼女はアメリカへ留学に行きます。,She is going to study abroad in the United States.,他计划明年去美国留学一年。,彼は来年アメリカへ1年間留学する予定です。
157,楼,lóu,"house with more than 1 story; storied building; floor; CL:层[ceng2] ,座[zuo4] ,栋[dong4]",建物階,我家有三层楼。,私の家は三階建てです。,My house has three floors.,我家住在五楼，窗外风景很好。,私の家は5階にあり、窓の外の景色がとても良いです。
158,绿,lv4,green,緑色,这棵树很绿。,この木はとても緑が濃いです。,This tree is very green.,春天来了，树叶变得绿油油的。,春が来て、木の葉がみずみずしい緑色になりました。
159,马,mǎ,"horse; abbr. for Malaysia,CL:匹",馬,我喜欢骑马。,私は乗馬が好きです。,I like horseback riding.,农场里有很多马在自由地奔跑。,農場にはたくさんの馬が自由に走り回っています。
160,马上,mǎ shàng,right away; at once; immediately; lit. on horseback,すぐに,我马上去学校。,私はすぐに学校へ行きます。,I am going to school immediately.,考试马上就要开始了，请大家准备好。,試験がすぐに始まるので、みんな準備してください。
161,满意,mǎn yì,satisfied; pleased; to one's satisfaction,満足,我对结果很满意。,私は結果にとても満足しています。,I am very satisfied with the result.,我对这次的工作结果很满意。,今回の仕事の結果に私はとても満足しています。
162,帽子,mào zi,hat; cap; CL:顶[ding3],帽子,他戴了一顶帽子。,彼は帽子をかぶりました。,He wore a hat.,天气冷了，记得带上你的帽子。,寒くなったので、帽子を忘れずに持ってきてください。
163,米,mǐ,rice; meter (classifier); CL:粒[li4],米,买一公斤米吧。,お米を1キロ買いましょう。,Let's buy one kilogram of rice.,我们家每天吃一碗米饭。,我が家は毎日一杯のご飯を食べます。
164,面包,miàn bāo,"bread; CL:片[pian4] ,袋[dai4] ,块[kuai4]",パン,早餐吃面包。,朝食にパンを食べます。,I eat bread for breakfast.,早餐我喜欢吃新鲜的面包和牛奶。,朝ごはんには新鮮なパンとミルクを食べるのが好きです。
165,明白,míng bai,to understand (clearly); to realize; clear; obvious; unequivocal;,分かる,我明白你的意思。,私はあなたの意味がわかります。,I understand what you mean.,请你说得慢一点，我不太明白。,もう少しゆっくり話してください、あまりわかりません。
166,拿,ná,to hold; to seize; to catch; to apprehend; to take,取る,请你拿一下书。,本を取ってください。,Please take the book.,请帮我拿一下那本放在桌上的书。,机の上にあるあの本を取ってください。
167,奶奶,nǎi nai,(informal) father's mother; paternal grandmother; CL:位[wei4],祖母,奶奶很喜欢我们。,おばあちゃんは私たちが大好きです。,Grandma likes us very much.,奶奶每天早上都会做早餐给我们吃。,おばあちゃんは毎朝私たちに朝ごはんを作ってくれます。
168,南,nán,south,南,学校在南边。,学校は南側にあります。,The school is on the south side.,我们学校位于城市的南边。,私たちの学校は街の南側にあります。
169,难,nán,difficult (to...); problem; difficulty; difficult; not good,難しい,这道题很难。,この問題はとても難しいです。,This question is very difficult.,这道题很难，我需要多花时间思考。,この問題は難しいので、もっと時間をかけて考える必要があります。
170,难过,nán guò,feel sorry; be grieved,悲しい,他今天很难过。,彼は今日とても悲しそうです。,He is very sad today.,听到坏消息后，他感到很难过。,悪い知らせを聞いて、彼はとても悲しくなりました。
171,年级,nián jí,grade; CL:个,学年,我上三年级。,私は三年生です。,I am in the third grade.,我现在是小学三年级的学生。,私は今、小学校の3年生です。
172,年轻,nián qīng,young,若い,他很年轻。,彼はとても若いです。,He is very young.,年轻人应该努力学习和工作。,若い人は一生懸命勉強して働くべきです。
173,鸟,niǎo,"bird; CL:只[zhi1] ,群[qun2]",鳥,树上有很多鸟。,木の上にたくさんの鳥がいます。,There are many birds on the tree.,公园里有很多鸟在唱歌。,公園にはたくさんの鳥が歌っています。
174,努力,nǔ lì,great effort; to strive; to try hard,努力,我们要努力学习。,私たちは一生懸命勉強しなければなりません。,We must study hard.,只有努力学习，才能取得好成绩。,努力して勉強することで、良い成績を取れます。
175,爬山,pá shān,to climb a mountain; to mountaineer; hiking; mountaineering,登山,周末去爬山。,週末に山登りに行きます。,We will go hiking on the weekend.,周末我们一起去爬山，锻炼身体。,週末に一緒に山登りに行って、体を鍛えます。
176,盘子,pán zi,plate; tray; dish,皿,请给我一个盘子。,お皿を一つください。,Please give me a plate.,请把盘子洗干净，放回厨房里。,お皿をきれいに洗って、キッチンに戻してください。
177,胖,pàng,fat; plump,太っている,他有点儿胖。,彼は少し太っています。,He is a bit fat.,他因为喜欢吃很多东西，所以有点胖。,彼はたくさん食べるのが好きなので、少し太っています。
178,啤酒,pí jiǔ,"beer; CL:杯[bei1] ,瓶[ping2] ,罐[guan4] ,桶[tong3] ,缸[gang1]",ビール,晚上喝啤酒。,夜にビールを飲みます。,I drink beer at night.,朋友们聚会时会喝啤酒聊天。,友達が集まるときはビールを飲みながら話します。
179,皮鞋,pí xié,leather shoes,革靴,他穿皮鞋上班。,彼は革靴を履いて仕事に行きます。,He wears leather shoes to work.,他买了一双新的皮鞋，穿起来很舒服。,彼は新しい革靴を買い、とても履き心地が良いです。
180,瓶子,píng zi,bottle; CL:个,瓶,桌上有一个瓶子。,机の上に瓶があります。,There is a bottle on the table.,瓶子里装满了新鲜的橙汁。,瓶の中には新鮮なオレンジジュースがいっぱい入っています。
181,其实,qí shí,actually; in fact; really,実は,其实我很喜欢他。,実は私は彼がとても好きです。,"Actually, I like him very much.",其实我已经知道了这个消息。,実は私はもうこのニュースを知っていました。
182,其他,qí tā,other; the others; else; other than (that person); in addition to the person mentioned above,その他,其他人都来了。,他の人はみんな来ました。,The other people all came.,除了他，其他人都已经到了。,彼以外の他の人はもう全員来ています。
183,奇怪,qí guài,strange; odd,変,这个问题很奇怪。,この問題はとても変です。,This problem is very strange.,他的行为很奇怪，让大家都感到疑惑。,彼の行動は奇妙で、みんなを困惑させました。
184,骑,qí,to ride (an animal or bike); to sit astride,乗る,我喜欢骑自行车。,私は自転車に乗るのが好きです。,I like riding a bicycle.,我每天骑自行车上班，既方便又环保。,私は毎日自転車で通勤していて、便利で環境にも優しいです。
185,起飞,qǐ fēi,to take off (in an airplane),離陸,飞机马上起飞。,飛行機はすぐに離陸します。,The plane will take off soon.,飞机将在十分钟后起飞，请准备登机。,飛行機は10分後に離陸するので、搭乗の準備をしてください。
186,起来,qǐ lái,beginning or continuing an action; upward movement; stand up,立つ,请你站起来。,立ってください。,Please stand up.,他站起来对大家说了谢谢。,彼は立ち上がって皆にお礼を言いました。
187,清楚,qīng chu,（be) clear (about); clearly understood; clear; distinct,はっきりする,我不太清楚。,私はあまりよくわかりません。,I am not very sure.,老师讲得很清楚，我完全理解了。,先生の説明はとてもわかりやすく、私は完全に理解しました。
188,请假,qǐng jià,ask for time off,休暇申請,我请假一天。,私は一日休みを取ります。,I take a day off.,我因为生病，向老师请假了三天。,私は病気で先生に3日間の休みを申請しました。
189,秋,qiū,autumn; fall; harvest time; a swing; surname Qiu,秋,秋天很凉快。,秋はとても涼しいです。,Autumn is very cool.,秋天的天气凉爽，适合出去旅游。,秋の天気は涼しく、旅行に適しています。
190,裙子,qún zi,skirt; CL:条[tiao2],スカート,她穿了红裙子。,彼女は赤いスカートを着ています。,She is wearing a red skirt.,她穿了一条漂亮的裙子参加晚会。,彼女は綺麗なスカートを着てパーティーに参加しました。
191,然后,rán hòu,then (afterwards); after that; afterwards; after,それから,先吃饭，然后学习。,先にご飯を食べて、それから勉強します。,"First eat, then study.",先学习汉语，然后再去看电影。,まず中国語を勉強してから、映画を見に行きます。
192,热情,rè qíng,cordial; enthusiastic; passion; passionate; passionately,熱心,他很热情。,彼はとても熱心です。,He is very enthusiastic.,老师对学生们非常热情和耐心。,先生は生徒に対してとても熱心で忍耐強いです。
193,认为,rèn wéi,to believe; to think; to consider; to feel,思う,我认为他对了。,私は彼が正しいと思います。,I think he is right.,我认为学习语言最重要的是多练习。,私は言語学習で最も重要なのはたくさん練習することだと思います。
194,认真,rèn zhēn,conscientious; earnest; serious; to take seriously; to take to heart,真面目,她学习很认真。,彼女はとても真面目に勉強しています。,She studies very seriously.,他做事很认真，从不马虎。,彼は物事にとても真面目で、決していい加減ではありません。
195,容易,róng yì,easy; likely; liable (to),簡単,这件衣服很容易洗。,この服は洗うのがとても簡単です。,This clothing is very easy to wash.,学会骑自行车对孩子来说很容易。,自転車の乗り方を覚えるのは子供にとって簡単です。
196,如果,rú guǒ,if; in case; in the event that,もしも,如果下雨，我就不去。,もし雨が降ったら、私は行きません。,"If it rains, I will not go.",如果明天下雨，我们就不去公园了。,もし明日雨が降ったら、公園には行きません。
197,伞,sǎn,umbrella; parasol; CL:把[ba3],傘,外面下雨，带伞吧。,外は雨が降っています。傘を持って行きなさい。,It is raining outside. Take an umbrella.,下雨的时候，我带了一把红色的伞。,雨が降った時、私は赤い傘を持っていきました。
198,上网,shàng wǎng,to be on the internet; to stretch a net (in a sports game or for covering sth); to be netted (of fish),ネットする,我每天上网学习。,私は毎日インターネットで勉強します。,I study online every day.,我每天晚上都会花一个小时上网学习。,私は毎晩1時間ネットで勉強します。
199,声音,shēng yīn,voice; sound; CL:个,声,你的声音很好听。,あなたの声はとてもきれいです。,Your voice is very nice.,她的声音很漂亮，大家都喜欢听。,彼女の声はとても美しく、みんな聞くのが好きです。
200,生气,shēng qì,angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation,怒る,他因为生气而走了。,彼は怒って出て行きました。,He left because he was angry.,他因为误会而生气了，但很快就和好了。,彼は誤解で怒りましたが、すぐに仲直りしました。
201,世界,shì jiè,world; CL:个,世界,世界很大。,世界はとても大きい。,The world is very big.,世界上有很多不同的文化和语言。,世界には多くの異なる文化と言語があります。
202,试,shì,to test; to try; experiment; examination; test,試す,我去试试。,試してみる。,I will try.,我明天要去学校试我的新电脑。,私は明日学校で新しいパソコンを試す予定です。
203,瘦,shòu,tight; thin; lean,痩せる,他很瘦。,彼はとても痩せている。,He is very thin.,他最近很瘦，因为每天都运动。,彼は最近とても痩せています、毎日運動しているからです。
204,叔叔,shū shu,father's younger brother; uncle; CL:个,おじ,叔叔来了。,おじさんが来た。,Uncle has come.,叔叔明天会来我们家吃晚饭。,おじさんが明日私たちの家に夕食を食べに来ます。
205,舒服,shū fu,comfortable; feeling well,快適,我很舒服。,私はとても快適だ。,I feel very comfortable.,我感觉舒服，因为天气很暖和。,天気が暖かいので、私は気持ちが良いです。
206,数学,shù xué,mathematics; mathematical,数学,数学很难。,数学はとても難しい。,Mathematics is very difficult.,数学考试让我有点紧张，但是我会努力。,数学の試験で少し緊張していますが、頑張ります。
207,树,shù,tree; CL:棵[ke1],木,树很高。,木はとても高い。,The tree is very tall.,公园里有一棵高大的树，非常漂亮。,公園にはとても高くて美しい木があります。
208,刷牙,shuā yá,to brush teeth,歯磨き,我要刷牙。,歯を磨く。,I want to brush my teeth.,每天早上我都会认真刷牙两次。,毎朝私はきちんと歯を二回磨きます。
209,双,shuāng,pair; double; two; both,一対,这是一双鞋。,これは一足の靴です。,This is a pair of shoes.,我买了一双新鞋，穿起来很舒服。,私は新しい靴を一足買いました、履き心地がとても良いです。
210,水平,shuǐ píng,level (of achievement etc); standard; horizontal,レベル,他的水平高。,彼のレベルは高い。,His level is high.,他的中文水平比我高得多。,彼の中国語のレベルは私よりずっと高いです。
211,司机,sī jī,chauffeur; driver; CL:个,運転手,司机开车。,運転手が車を運転する。,The driver drives the car.,司机开车很小心，保证了我们的安全。,運転手はとても注意深く運転し、私たちの安全を守りました。
212,太阳,tài yáng,sun; CL:个,太陽,太阳很大。,太陽はとても大きい。,The sun is very big.,今天的太阳很大，我们去公园玩吧。,今日は太陽がとても強いので、公園に遊びに行きましょう。
213,特别,tè bié,especially; special; particular; unusual,特別,她特别好。,彼女は特に良い。,She is especially good.,这个菜特别好吃，我想再点一份。,この料理は特に美味しいので、もう一皿頼みたいです。
214,疼,téng,(it) hurts; love fondly; ache; pain; sore,痛み,我头疼疼。,頭が痛い。,I have a headache.,我的头疼得很厉害，需要休息一下。,頭がひどく痛いので、少し休む必要があります。
215,提高,tí gāo,to raise; to increase,向上,我要提高。,私は向上したい。,I want to improve.,为了提高成绩，我每天都努力学习。,成績を上げるために、毎日一生懸命勉強しています。
216,体育,tǐ yù,sports; physical education,体育,我喜欢体育。,私はスポーツが好きだ。,I like sports.,学校的体育课每周三和周五有。,学校の体育の授業は毎週水曜日と金曜日にあります。
217,甜,tián,sweet,甘い,这个很甜。,これはとても甘い。,This is very sweet.,这个蛋糕很甜，但是我很喜欢吃。,このケーキは甘いですが、私はとても好きです。
218,条,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)",本（細長物）,买一条裤子。,ズボンを一本買う。,Buy a pair of pants.,我买了一条新裤子，颜色很漂亮。,私は新しいズボンを一本買いました、色がとても綺麗です。
219,同事,tóng shì,"colleague; co-worker; CL:个,位[wei4]",同僚,他是同事。,彼は同僚だ。,He is a colleague.,我的同事们都很友好，工作很愉快。,私の同僚たちはみんな親切で、仕事が楽しいです。
220,同意,tóng yì,to agree; to consent; to approve,同意,我同意你。,私はあなたに同意する。,I agree with you.,我同意你的意见，我们应该早点出发。,私はあなたの意見に賛成です、早く出発すべきです。
221,头发,tóu fa,hair (on the head),髪,头发很长。,髪がとても長い。,The hair is very long.,她的头发又长又黑，非常漂亮。,彼女の髪は長くて黒く、とても美しいです。
222,突然,tū rán,sudden; abrupt; unexpected,突然,他突然来了。,彼は突然来た。,He came suddenly.,他突然来了，让大家都很惊讶。,彼が突然来て、みんなびっくりしました。
223,图书馆,tú shū guǎn,"library; CL:家[jia1] ,个",図書館,去图书馆吧。,図書館に行こう。,Let's go to the library.,我喜欢去图书馆安静地看书。,私は静かに本を読むために図書館に行くのが好きです。
224,腿,tuǐ,leg; CL:条[tiao2],足,腿很疼。,足がとても痛い。,My leg hurts a lot.,运动后我的腿有点疼，需要休息。,運動の後、足が少し痛いので休む必要があります。
225,完成,wán chéng,complete; accomplish; perfect tense (grammar),完成,我完成了。,私は終えた。,I have finished.,我已经完成了今天的作业，可以休息了。,私はもう今日の宿題を終えたので、休めます。
226,碗,wǎn,"bowl; cup; CL:只[zhi1] ,个",茶碗,给我一个碗。,私に一つの碗をください。,Give me a bowl.,请给我一碗热汤，我感冒了。,熱いスープを一杯ください、風邪をひきました。
227,万,wàn,ten thousand; a great number,万,这里有一万。,ここに一万ある。,There is ten thousand here.,这个城市有一万多人口，发展很快。,この都市には一万人以上の人口がいて、発展が速いです。
228,忘记,wàng jì,to forget,忘れる,我忘记了。,私は忘れてしまった。,I forgot.,我忘记带钥匙了，不能进家门。,鍵を持ってくるのを忘れてしまい、家に入れません。
229,为,wèi,because of; for; to,ために,这是为你。,これはあなたのためです。,This is for you.,我为你的成功感到非常高兴。,あなたの成功をとても嬉しく思います。
230,为了,wèi le,in order to; for the purpose of; so as to,〜のために,为了学习努力。,勉強のために努力する。,Work hard for studying.,为了健康，我们每天都要运动。,健康のために、私たちは毎日運動しなければなりません。
231,位,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes),位,请坐这位。,こちらにお座りください。,Please sit here.,这里有一位老师正在教学生数学。,ここに一人の先生が生徒に数学を教えています。
232,文化,wén huà,"culture; civilization; cultural; CL:个,种[zhong3]",文化,文化很丰富。,文化はとても豊かだ。,The culture is very rich.,我们学校重视学生的文化交流活动。,私たちの学校は学生の文化交流活動を重視しています。
233,西,xī,west,西,太阳从西落？,太陽は西に沈む？,Does the sun set in the west?,我们向西走，可以看到美丽的风景。,私たちは西に向かって歩くと、美しい景色が見えます。
234,习惯,xí guàn,habit; custom; usual practice; to be used to; CL:个,習慣,我习惯早起。,私は早起きに慣れている。,I am used to getting up early.,我已经习惯每天早上六点起床了。,私は毎朝6時に起きることにもう慣れました。
235,洗手间,xǐ shǒu jiān,toilet; lavatory; washroom,トイレ,洗手间在哪里？,トイレはどこですか？,Where is the restroom?,请问洗手间在哪里？我想去洗手间。,すみません、トイレはどこですか？トイレに行きたいです。
236,洗澡,xǐ zǎo,to bathe; to take a shower,入浴,我去洗澡。,私はお風呂に入る。,I am going to take a shower.,晚上睡觉前，我都会洗澡保持清洁。,夜寝る前に、私はいつもシャワーを浴びて清潔を保ちます。
237,夏,xià,summer,夏,夏天很热。,夏はとても暑い。,Summer is very hot.,夏天的时候，我们喜欢去海边游泳。,夏の時期は、私たちは海辺で泳ぐのが好きです。
238,先,xiān,early; prior; former; in advance; first,先に,先吃饭吧。,先にご飯を食べよう。,Let's eat first.,请你先吃饭，我马上就来。,先に食事をしてください、すぐに行きます。
239,相信,xiāng xìn,to believe; to be convinced (that something is true); to accept sth as true,信じる,我相信你。,私はあなたを信じている。,I believe in you.,我相信你一定能完成这个任务。,私はあなたが必ずこの任務を達成できると信じています。
240,香蕉,xiāng jiāo,"banana; CL:枝[zhi1] ,根[gen1] ,个,把[ba3]",バナナ,我喜欢香蕉。,私はバナナが好きだ。,I like bananas.,香蕉是我最喜欢吃的水果之一。,バナナは私の一番好きな果物の一つです。
241,像,xiàng,(look) like; similar (to); appearance; to appear; to seem; image; portrait; resemble; seem,〜のようだ,他像爸爸。,彼はお父さんに似ている。,He looks like his father.,他长得像他的爸爸，非常帅气。,彼はお父さんに似ていて、とてもかっこいいです。
242,向,xiàng,direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang,〜へ,向左走。,左に行く。,Go left.,请向左转，然后一直往前走。,左に曲がって、それからずっとまっすぐ進んでください。
243,小心,xiǎo xīn,to be careful; to take care,注意,小心地滑。,滑りやすいので注意。,"Be careful, it's slippery.",路滑，小心走路，避免摔倒。,道が滑りやすいので、注意して歩いて転ばないようにしてください。
244,校长,xiào zhǎng,"(college, university) president; headmaster; CL:个,位[wei4] ,名[ming2]",校長,校长讲话。,校長が話す。,The principal speaks.,校长今天来学校检查教学情况。,校長が今日学校に来て、授業の状況をチェックしました。
245,新闻,xīn wén,"news; CL:条[tiao2] ,个",ニュース,听新闻了吗？,ニュースを聞きましたか？,Did you hear the news?,我每天早上都会看新闻了解世界动态。,私は毎朝ニュースを見て世界の動向を知ります。
246,新鲜,xīn xiān,"fresh (experience, food etc); freshness",新鮮,水果很新鲜。,果物はとても新鮮だ。,The fruit is very fresh.,这些水果很新鲜，味道非常好。,これらの果物は新鮮で、とても美味しいです。
247,信用卡,xìn yòng kǎ,credit card,クレカ,我有信用卡。,私はクレジットカードを持っている。,I have a credit card.,我用信用卡支付了这次购物的费用。,今回の買い物の代金をクレジットカードで支払いました。
248,行李箱,xíng lǐ xiāng,suitcase,スーツケース,把行李箱拿来。,スーツケースを持ってきて。,Bring the suitcase.,请帮我把行李箱放到车上，谢谢。,荷物を車に乗せるのを手伝ってください、ありがとうございます。
249,熊猫,xióng māo,panda; CL:只[zhi1],パンダ,熊猫很可爱。,パンダはとても可愛い。,Pandas are very cute.,熊猫是中国的国宝，大家都很喜欢。,パンダは中国の国宝で、みんなにとても好かれています。
250,需要,xū yào,to need; to want; to demand; needs; to require,必要,我需要帮助。,私は助けが必要だ。,I need help.,你需要帮助的时候，请告诉我。,助けが必要な時は、私に教えてください。
251,选择,xuǎn zé,to select; to pick; choice; option; alternative,選ぶ,你选什么？,あなたは何を選びますか？,What do you choose?,你可以选择自己喜欢的颜色。,あなたは自分の好きな色を選ぶことができます。
252,要求,yāo qiú,to request; to require; to stake a claim; to ask; to demand; CL:点[dian3],要求,有要求吗？,何か要求がありますか？,Do you have any requirements?,老师对我们的作业有很多要求。,先生は私たちの宿題に多くの要求があります。
253,爷爷,yé ye,(informal) father's father; paternal grandfather; CL:个,祖父,我爱爷爷。,私はおじいちゃんが大好きです。,I love my grandfather.,爷爷每天早上都去公园散步。,おじいさんは毎朝公園へ散歩に行きます。
254,一直,yī zhí,straight (in a straight line); continuously; always; from the beginning of... up to...; all along,ずっと,他一直跑步。,彼はずっと走っています。,He keeps running.,我一直在学习中文，没有放松。,私はずっと中国語を勉強していて、休んでいません。
255,一定,yí dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,必ず,我一定去。,私は必ず行きます。,I will definitely go.,你一定要按时完成作业。,あなたは必ず時間通りに宿題を終わらせなければなりません。
256,一共,yī gòng,altogether,合計,一共三本书。,全部で三冊の本です。,There are three books in total.,我们班一共有三十个学生。,私たちのクラスは全部で30人の学生がいます。
257,一会儿,yī huì er,a while,少しの間,等一会儿。,少し待ってください。,Wait a moment.,请你等我一会儿，我马上回来。,ちょっと待っていてください、すぐ戻ってきます。
258,一样,yī yàng,same; like; equal to; the same as; just like,同じ,我们一样高。,私たちは同じくらいの身長です。,We are the same height.,我们穿着一样的衣服去参加聚会。,私たちは同じ服を着てパーティーに参加しました。
259,以前,yǐ qián,before; formerly; previous; ago,以前,以前去过北京。,以前北京に行ったことがあります。,I have been to Beijing before.,以前我住在北京，现在搬到上海了。,以前は北京に住んでいましたが、今は上海に引っ越しました。
260,一般,yī bān,ordinary; common; general; generally; in general; same,普通,他一般很忙。,彼は普段とても忙しいです。,He is usually very busy.,一般来说，早睡对身体有好处。,一般的に言って、早く寝ることは体に良いです。
261,一边,yī biān,one side; either side; on the one hand; on the other hand; doing while,〜しながら,一边吃饭一边看书。,ご飯を食べながら本を読みます。,I eat while reading a book.,他一边听音乐一边做作业。,彼は音楽を聴きながら宿題をしています。
262,音乐,yīn yuè,"music; CL:张[zhang1] ,曲[qu3] ,段[duan4]",音楽,我喜欢音乐。,私は音楽が好きです。,I like music.,我喜欢在安静的时候听音乐。,私は静かな時に音楽を聴くのが好きです。
263,银行,yín háng,"bank; CL:家[jia1] ,个",銀行,去银行取钱。,銀行に行ってお金を下ろします。,Go to the bank to withdraw money.,银行今天下午三点关门。,銀行は今日の午後3時に閉まります。
264,饮料,yǐn liào,(a) drink; beverage,飲み物,喝饮料吧。,飲み物を飲みましょう。,Let's drink a beverage.,夏天我喜欢喝冰镇饮料。,夏は冷たい飲み物を飲むのが好きです。
265,应该,yīng gāi,ought to; should; must,〜べき,你应该学习。,あなたは勉強すべきです。,You should study.,你应该每天锻炼身体。,あなたは毎日体を鍛えるべきです。
266,影响,yǐng xiǎng,influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3],影響,天气影响心情。,天気は気分に影響します。,The weather affects mood.,天气的变化会影响我们的心情。,天気の変化は私たちの気分に影響を与えます。
267,用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,使う,我用手机。,私は携帯電話を使います。,I use a mobile phone.,请告诉我怎么用这个手机应用。,この携帯アプリの使い方を教えてください。
268,游戏,yóu xì,game; play; CL:场[chang3],ゲーム,玩游戏很快乐。,ゲームをするのは楽しいです。,Playing games is fun.,孩子们喜欢在公园里玩游戏。,子供たちは公園でゲームをするのが好きです。
269,有名,yǒu míng,famous; well-known,有名,他很有名。,彼はとても有名です。,He is very famous.,北京故宫是中国有名的景点。,北京の故宮は中国で有名な観光地です。
