No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
230,独立,dú lì,independent; independence; to stand alone,独立,她经济上很独立。,彼女は経済的にとても自立している。,She is very financially independent.,年轻人应该学会独立思考，培养自己的判断能力。,若者は独立して考えることを学び、自分の判断力を養うべきだ。
231,独特,dú tè,distinct; unique; having special characteristics,独特,他的风格很独特。,彼のスタイルはとても独特だ。,His style is very unique.,这家餐厅的菜肴具有独特的风味，让人流连忘返。,このレストランの料理は独特な風味があり、人を魅了して忘れられなくさせる。
232,度过,dù guò,to spend; to pass: to get through; to survive,過ごす,我们愉快地度过假期。,私たちは楽しく休暇を過ごした。,We spent the holiday happily.,我们一起度过了难忘的假期，留下了许多美好的回忆。,私たちは一緒に忘れられない休暇を過ごし、多くの素晴らしい思い出を残した。
233,断,duàn,"to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly",断つ,他断开了电话线。,彼は電話線を切った。,He disconnected the telephone line.,由于强风，树枝断裂掉落，造成了道路堵塞。,強風のため枝が折れて落ち、道路が塞がれてしまった。
234,堆,duī,to pile up; to heap up; pile (of things); a mass; heap; stack,積む,书堆得很高。,本が高く積まれている。,The books are piled high.,工人们把建筑材料堆放在工地中央，方便随时使用。,作業員たちは建築資材を工事現場の中央に積み上げ、いつでも使えるようにしている。
235,兑换,duì huàn,to convert; to exchange,両替する,机场可以兑换货币。,空港で通貨を両替できる。,You can exchange currency at the airport.,请携带有效证件到银行办理外币兑换手续。,有効な身分証明書を持って銀行に行き、外貨両替の手続きをしてください。
236,对比,duì bǐ,contrast; ratio; CL:个,比較する,对比两者的优劣。,両者の優劣を比較する。,Compare the advantages and disadvantages of the two.,通过对比两个方案的优缺点，我们最终选择了更合适的那个。,二つの案の長所と短所を比較して、最終的により適したものを選んだ。
237,对待,duì dài,to treat; treatment,接する,我们应该公平对待他人。,私たちは他人を公平に扱うべきだ。,We should treat others fairly.,我们应该以平等和尊重的态度对待每一个人。,私たちは平等かつ尊重の態度で誰に対しても接するべきだ。
238,对方,duì fāng,counterpart; other person involved; opposite side; other side; receiving party,相手,对方态度很友好。,相手の態度はとても友好的だ。,The other party's attitude is very friendly.,谈判中，双方都表现出诚意，努力寻求共赢的解决方案。,交渉中、双方は誠意を示し、ウィンウィンの解決策を模索した。
239,对手,duì shǒu,opponent; adversary; rival; competitor,対戦相手,他是我的对手。,彼は私の対戦相手だ。,He is my opponent.,作为对手，我们应该尊重彼此的实力，并保持良好的竞技精神。,対戦相手として、お互いの実力を尊重し、良いスポーツマンシップを保つべきだ。
240,对象,duì xiàng,target; object; partner; boyfriend; girlfriend; CL:个,対象,她是结婚对象。,彼女は結婚の相手だ。,She is my marriage partner.,他一直把她当作自己人生中最重要的对象，深爱着她。,彼は彼女を人生で最も大切な相手と考え、深く愛している。
241,吨,dūn,ton,トン,这辆车重三吨。,この車は3トンの重さがある。,This car weighs three tons.,这批货物的重量达到了一吨，需要用专门的运输工具。,この貨物の重量は一トンに達し、専用の輸送手段が必要だ。
242,蹲,dūn,to crouch; to squat,しゃがむ,孩子蹲在地上玩。,子供は地面にしゃがんで遊んでいる。,The child is squatting on the ground playing.,小猫在角落里蹲着，静静地观察着周围的动静。,子猫は隅でしゃがみ込み、周囲の様子を静かに観察している。
243,顿,dùn,"to pause; to stop; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal",食事,我们顿顿吃得很饱。,私たちは毎食お腹いっぱい食べている。,We eat until full every meal.,他顿了顿，才继续讲述那个令人难忘的故事。,彼は一息ついてから、あの忘れがたい話を続けた。
244,多亏,duō kuī,thanks to; luckily,おかげで,多亏你的帮助成功。,あなたの助けのおかげで成功した。,"Thanks to your help, we succeeded.",多亏了大家的帮助，项目才能顺利按时完成。,みんなの助けのおかげで、プロジェクトは順調に予定通り完成できた。
245,多余,duō yú,superfluous; unnecessary; surplus,余分な,这些多余的东西扔掉。,これらの余分なものを捨ててください。,Throw away these extra things.,这些多余的材料可以回收利用，避免浪费资源。,これらの余分な材料はリサイクルでき、資源の無駄を避けられる。
246,朵,duǒ,earlobe,花の量詞,送给她一朵玫瑰。,彼女にバラの花を一輪贈る。,Give her a rose.,她手里捧着一朵盛开的玫瑰花，显得格外美丽动人。,彼女は手に一輪の満開のバラを抱き、とても美しく魅力的に見えた。
247,躲藏,duǒ cáng,to conceal oneself; to hide oneself; to take cover,隠れる,他躲藏在树后面。,彼は木の後ろに隠れている。,He is hiding behind the tree.,为了躲藏风暴，他躲藏在山洞里整整一天一夜。,嵐を避けるために、彼は山の洞窟の中で丸一日一晩隠れていた。
248,恶劣,è liè,vile; nasty; of very poor quality,悪質な,天气恶劣影响出行。,悪天候が外出に影響を与えている。,Bad weather is affecting travel.,恶劣的天气条件严重影响了救援人员的工作进度。,悪天候のため救援隊の作業進捗が深刻に影響を受けた。
249,耳环,ěr huán,"earring; CL:只[zhi1] ,对[dui4]",イヤリング,她戴着漂亮耳环。,彼女はきれいなイヤリングをつけている。,She is wearing beautiful earrings.,她戴着一对精致的耳环，显得格外优雅迷人。,彼女は繊細なイヤリングをつけていて、とても優雅で魅力的に見える。
250,发表,fā biǎo,to publish; to issue; to put out; to issue (a statement);,発表する,他发表了重要演讲。,彼は重要な演説をした。,He delivered an important speech.,他在国际会议上发表了关于环境保护的重要演讲。,彼は国際会議で環境保護に関する重要なスピーチを発表した。
251,发愁,fā chóu,to worry; to fret; to be anxious; to become sad,心配する,他为考试发愁。,彼は試験のことで悩んでいる。,He is worried about the exam.,面对即将到来的考试，她开始为成绩发愁，夜晚常常难以入睡。,迫り来る試験に直面して、彼女は成績を気にかけて夜もなかなか眠れなかった。
252,发达,fā dá,developed (country etc); flourishing; to develop,発展する,这个城市经济很发达。,この都市の経済はとても発展している。,The economy of this city is very developed.,随着经济的不断发展，这个城市已经成为一个高度发达的国际大都市。,経済の絶え間ない発展に伴い、この都市は高度に発達した国際的大都市となった。
253,发抖,fā dǒu,to tremble; to shake; to shiver; to shudder; tremulous,震える,他因为害怕不停发抖。,彼は怖くて震え続けている。,He keeps trembling because he is scared.,听到突如其来的噩耗，他不禁全身发抖，无法控制自己的情绪。,突然の悪い知らせを聞いて、彼は思わず全身が震え、感情を抑えられなかった。
254,发挥,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),発揮する,她发挥了自己的才能。,彼女は自分の才能を発揮した。,She demonstrated her talent.,他在比赛中充分发挥了自己的实力，最终赢得了冠军的荣誉。,彼は試合で自分の実力を十分に発揮し、最終的にチャンピオンの栄誉を手に入れた。
255,发明,fā míng,to invent; invention; CL:个,発明する,爱迪生发明了电灯。,エジソンは電球を発明した。,Edison invented the electric light.,这项新技术的发明极大地改变了人们的生活方式，带来了便利。,この新技術の発明は人々の生活様式を大きく変え、利便性をもたらした。
256,发票,fā piào,invoice; receipt or bill for purchase,領収書,请给我开个发票。,請求書を発行してください。,Please issue me an invoice.,购物时请记得索取发票，以便日后退换货使用。,買い物の際は必ず領収書を受け取ってください。後日返品や交換に必要です。
257,发言,fā yán,to make a speech; statement; utterance,発言する,他在会上积极发言。,彼は会議で積極的に発言した。,He spoke actively at the meeting.,会议上，他代表公司发表了重要的发言，引起了大家的共鸣。,会議で彼は会社を代表して重要な発言を行い、皆の共感を呼んだ。
258,罚款,fá kuǎn,(impose a) fine; penalty; fine (monetary),罰金,超速被罚款了。,速度超過で罰金を科された。,He was fined for speeding.,违反交通规则的司机被罚款了，并且扣除了驾驶证上的积分。,交通規則を違反した運転手は罰金を科され、運転免許の点数も減点された。
259,法院,fǎ yuàn,court of law; court,裁判所,案件交给法院处理。,事件は裁判所に処理を任せた。,The case was handed over to the court for handling.,法院经过审理，最终判决被告人无罪释放。,裁判所は審理の結果、被告人を無罪放免と判決した。
260,翻,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode,めくる,请翻开第十页。,10ページをめくってください。,Please turn to page ten.,他把书翻到最后一页，才发现结局出乎意料。,彼は本を最後のページまでめくって、結末が予想外であることに気づいた。
261,繁荣,fán róng,prosperous; booming (economy),繁栄する,经济繁荣带来幸福。,経済の繁栄は幸福をもたらす。,Economic prosperity brings happiness.,经过多年的努力，这个地区的经济得到了快速的繁荣发展。,長年の努力の末、この地域の経済は急速に繁栄発展した。
262,反而,fǎn ér,instead; on the contrary; contrary (to expectations),かえって,他反而更努力学习。,彼はかえってもっと一生懸命勉強した。,He studied even harder instead.,他本来想帮忙，结果反而让事情变得更加复杂了。,彼は元々助けようと思ったのに、かえって事態をより複雑にしてしまった。
263,反复,fǎn fù,repeatedly; over and over,くり返す,老师反复强调重点。,先生は重点を繰り返し強調した。,The teacher repeatedly emphasized the key points.,他反复强调这次会议的重要性，希望大家能够认真对待。,彼は今回の会議の重要性を繰り返し強調し、皆に真剣に取り組むよう願った。
264,反应,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction; CL:个,反応,他对批评有反应。,彼は批判に反応した。,He reacted to the criticism.,他的反应非常迅速，及时解决了突发的技术问题。,彼の反応は非常に速く、突発的な技術問題を即座に解決した。
265,反映,fǎn yìng,"to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反应, response or reaction",反映する,报告反映了真实情况。,報告は実際の状況を反映している。,The report reflects the real situation.,调查结果反映出消费者对产品质量的普遍关注。,調査結果は消費者が製品の品質に広く関心を持っていることを反映している。
266,反正,fǎn zhèng,to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway,とにかく,反正我会完成任务。,とにかく私は任務を完了するつもりだ。,"Anyway, I will complete the task.",反正明天有空，我们可以一起去看电影，不用太担心时间。,とにかく明日は暇だから、一緒に映画を見に行けるし、時間はあまり気にしなくていいよ。
267,范围,fàn wéi,limit; range; scope; extent; CL:个,範囲,研究范围很广泛。,研究の範囲は非常に広い。,The scope of the research is very broad.,这个项目的实施范围涵盖了全国多个省市，影响广泛。,このプロジェクトの実施範囲は全国の多くの省や市に及び、影響は広範囲だ。
268,方,fāng,"square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter",方法,找到解决问题的方。,問題を解決する方法を見つけた。,Found a way to solve the problem.,请按照说明书上的方法来操作，以免出现错误。,説明書の方法に従って操作してください。誤りが起きないように。
269,方案,fāng àn,plan (for action); program (for action etc); proposal; proposed bill; CL:个,計画案,公司提出了新方案。,会社は新しいプランを提案した。,The company proposed a new plan.,公司制定了详细的市场推广方案，力求提高产品的知名度。,会社は詳細な市場プロモーション計画を策定し、製品の知名度向上を目指している。
270,方式,fāng shì,way (of life); pattern; style; mode; manner; CL:个,方法,学习方式多种多样。,学習方法は多種多様だ。,There are various ways of learning.,学习语言的方式多种多样，关键是找到适合自己的方法。,言語学習の方法は多種多様で、重要なのは自分に合った方法を見つけることだ。
271,妨碍,fáng ài,to hinder; to obstruct,妨げる,噪音妨碍了休息。,騒音が休息を妨げた。,Noise disturbed the rest.,噪音严重妨碍了居民的正常生活，相关部门已经着手处理。,騒音が住民の日常生活を著しく妨げており、関係部署はすでに対処に乗り出している。
272,仿佛,fǎng fú,to seem; as if; alike; similar,まるで,他仿佛看到了未来。,彼はまるで未来を見たかのようだった。,He seemed to have seen the future.,他仿佛看到了过去的自己，心中充满了感慨。,彼はまるで過去の自分を見ているかのようで、心の中に感慨があふれた。
273,非,fēi,non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must,非〜,这非你的错。,これはあなたの過ちではない。,This is not your fault.,这种说法非完全正确，还需进一步的证据支持。,この説は完全に正しいわけではなく、更なる証拠の裏付けが必要だ。
274,肥皂,féi zào,"soap; CL:块[kuai4] ,条[tiao2]",石鹸,请用肥皂洗手。,石鹸で手を洗ってください。,Please wash your hands with soap.,在旅行中，带上一块肥皂可以方便清洁衣物。,旅行の際には石鹸を一つ持って行くと衣類の洗濯に便利だ。
275,废话,fèi huà,nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic),無駄話,别说废话，认真听。,無駄話はやめて、真剣に聞いて。,"Don't talk nonsense, listen carefully.",请不要说废话，直接告诉我你的想法吧。,無駄なことは言わず、直接君の考えを教えてくれ。
276,分别,fēn bié,to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually,別れる,他们分别去了不同城市。,彼らはそれぞれ別の都市に行った。,They went to different cities respectively.,毕业后，他们各自选择了不同的道路，开始了新的生活。,卒業後、彼らはそれぞれ異なる道を選び、新しい生活を始めた。
277,分布,fēn bù,distributed; to distribute,分布する,人口分布不均匀。,人口の分布は均一ではない。,The population distribution is uneven.,这个物种主要分布在热带和亚热带地区，适应性强。,この種は主に熱帯と亜熱帯地域に分布し、適応性が強い。
278,分配,fēn pèi,to assign; to allocate; to distribute,分配する,老板合理分配任务。,社長は仕事を合理的に割り当てた。,The boss allocated tasks reasonably.,领导合理分配了任务，确保项目按时完成。,リーダーは合理的に任務を分配し、プロジェクトの期限内完成を確実にした。
279,分手,fēn shǒu,to part company; to split up; to break up,別れる,他们决定和平分手。,彼らは平和的に別れることに決めた。,They decided to part ways peacefully.,他们因为性格不合而最终选择了分手，各自追求新的幸福。,彼らは性格の不一致で最終的に別れを選び、それぞれ新しい幸せを追求した。
280,分析,fēn xī,to analyze; analysis; CL:个,分析する,专家分析了数据。,専門家はデータを分析した。,Experts analyzed the data.,通过对数据的仔细分析，我们找到了问题的根本原因。,データの綿密な分析を通じて、問題の根本原因を見つけ出した。
281,纷纷,fēn fēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,次々に,客人纷纷到来。,お客さんが次々とやってきた。,Guests arrived one after another.,春天来了，花园里各种花朵纷纷开放，景色十分迷人。,春が来て、庭のさまざまな花が次々に咲き誇り、景色はとても魅力的だ。
282,奋斗,fèn dòu,to strive; to struggle; to fight: struggle,奮闘する,他为梦想奋斗不息。,彼は夢のために絶え間なく努力している。,He strives tirelessly for his dreams.,为了实现梦想，他每天都在努力奋斗，从不轻言放弃。,夢を実現するために、彼は毎日懸命に努力し、決して諦めない。
283,疯狂,fēng kuáng,crazy; frantic; madness; extreme popularity,狂気,他的行为显得疯狂。,彼の行動は狂気じみて見えた。,His behavior appeared crazy.,他因为疯狂地追求目标，忽略了身体的健康。,彼は目標を狂ったように追いかけて、体の健康を無視してしまった。
284,风格,fēng gé,style; maneer; mode,風格,他的画风格独特。,彼の絵のスタイルは独特だ。,His painting style is unique.,这位画家的作品风格独特，深受艺术爱好者的喜爱。,この画家の作品は独特な風格を持ち、芸術愛好者に深く愛されている。
285,风景,fēng jǐng,scenery; landscape; CL:个,風景,这儿的风景很美。,ここからの景色はとても美しい。,The scenery here is very beautiful.,旅行途中，他被眼前的自然风景深深吸引，流连忘返。,旅の途中、彼は目の前の自然の風景に深く魅了され、なかなか立ち去れなかった。
286,风俗,fēng sú,social custom; CL:个,風習,了解当地风俗很重要。,現地の風俗を理解することは重要だ。,Understanding local customs is important.,不同地区有不同的风俗习惯，需要尊重当地文化。,地域ごとに異なる風俗習慣があり、現地の文化を尊重する必要がある。
287,风险,fēng xiǎn,risk; venture; hazard,リスク,投资存在一定风险。,投資には一定のリスクがある。,Investment carries certain risks.,投资有风险，理财需谨慎，以免造成不必要的损失。,投資にはリスクがあり、資産運用は慎重に行うべきで、不必要な損失を避けるべきだ。
288,讽刺,fěng cì,to satirize; to mock; irony; satire; sarcasm,皮肉,他的讲话带有讽刺。,彼の話し方には皮肉が込められていた。,His speech contained sarcasm.,他的文章通过讽刺手法，批判了社会上的不公平现象。,彼の文章は皮肉な手法で社会の不公平現象を批判している。
289,否定,fǒu dìng,to negate; negative (answer); CL:个,否定する,他否定了指控。,彼はその指摘を否定した。,He denied the accusation.,对于事实的否定，只会让问题变得更加复杂和难以解决。,事実の否定は、問題をさらに複雑で解決困難にするだけだ。
290,否认,fǒu rèn,to deny; to declare to be untrue,否認する,嫌疑人否认犯罪。,容疑者は犯罪を否認した。,The suspect denied the crime.,尽管证据确凿，他仍然否认自己的错误行为。,証拠が明白であるにもかかわらず、彼は自分の誤った行動を否認し続けた。
291,幅,fú,width; roll; classifier for textiles or pictures,幅,这幅画很有艺术感。,この絵はとても芸術的だ。,This painting is very artistic.,这幅画的幅面很大，色彩丰富，给人强烈的视觉冲击。,この絵の幅は大きく、色彩が豊かで、強い視覚的インパクトを与える。
292,扶,fú,to support with hand; to help sb up; to help,支える,他扶起倒地的老人。,彼は倒れた老人を支え起こした。,He helped the fallen old man up.,老人走路时，他总是细心地扶着，生怕他摔倒。,お年寄りが歩くとき、彼はいつも注意深く支え、転ばないように気をつけている。
293,服装,fú zhuāng,clothing; dress; costume; clothes; CL:身[shen1],服装,她喜欢时尚服装。,彼女はファッションの服が好きだ。,She likes fashionable clothes.,时装秀展示了设计师最新的服装系列，风格多样且富有创意。,ファッションショーではデザイナーの最新服装コレクションが披露され、多様で創造的なスタイルだった。
294,辅导,fǔ dǎo,to coach; to tutor; to give advice (in study),指導する,老师辅导学生写作。,先生は学生の作文を指導した。,The teacher tutored students in writing.,老师在课后为学习有困难的学生提供辅导，帮助他们进步。,先生は授業後、学習に困難がある生徒に指導を提供し、彼らの進歩を助けている。
295,复制,fù zhì,to duplicate; to make a copy of; to copy; to reproduce; to clone,複製する,请复制这份文件。,この書類をコピーしてください。,Please copy this document.,为了保护版权，未经许可不得复制这部作品的内容。,著作権を保護するため、無断でこの作品の内容を複製してはならない。
296,妇女,fù nv3,woman,婦女,妇女在社会中重要。,女性は社会で重要な存在だ。,Women are important in society.,妇女在社会发展中扮演着越来越重要的角色，贡献巨大。,女性は社会発展においてますます重要な役割を果たし、大きな貢献をしている。
297,改革,gǎi gé,to reform; reform; CL:个,改革する,政府推动经济改革。,政府は経済改革を推進している。,The government is promoting economic reform.,政府推行了一系列改革措施，旨在提升公共服务的效率。,政府は公共サービスの効率を向上させることを目的に、一連の改革措置を実施した。
298,改进,gǎi jìn,to improve; to make better; CL:个,改良する,公司改进了产品。,会社は製品を改良した。,The company improved the product.,经过不断改进，产品的质量和性能都有了显著提升。,絶え間ない改善を経て、製品の品質と性能は著しく向上した。
299,改善,gǎi shàn,to make better; to improve; CL:个,改善する,生活质量不断改善。,生活の質は絶えず改善している。,The quality of life is continuously improving.,公司采取多种措施改善员工的工作环境，增强归属感。,会社は従業員の労働環境を改善し、帰属意識を高めるために様々な措置を講じた。
300,改正,gǎi zhèng,to correct; to amend; to put right; correction; CL:个,訂正する,请改正你的错误。,あなたの間違いを訂正してください。,Please correct your mistakes.,发现错误后，他及时改正，避免了更严重的后果发生。,誤りを発見した後、彼はすぐに訂正し、より深刻な結果の発生を防いだ。
301,概括,gài kuò,to summarize; to generalize; briefly; CL:个,要約,他能概括全文。,彼は全文を要約できる。,He can summarize the entire text.,在总结这次调研的结果时，我们需要概括出主要的问题和解决方案。,今回の調査結果をまとめる際、主要な問題と解決策を要約する必要がある。
302,概念,gài niàn,concept; idea; CL:个,概念,新概念很有趣。,新しい概念はとても面白い。,The new concept is very interesting.,‘自由’这个概念在不同文化中有着不同的理解和表现形式。,「自由」という概念は異なる文化の中で様々な理解や表現形式がある。
303,盖,gài,lid; to cover; canopy; to build,覆う,雪盖满山顶。,雪が山頂を覆っている。,Snow covers the mountain top.,这座古老的房子已经被一层新的屋顶盖住了，防止雨水渗漏。,この古い家は新しい屋根で覆われていて、雨水の浸入を防いでいる。
304,干脆,gān cuì,straightforward; clear-cut; blunt (e.g. statement); you might as well; simply,はっきり,他干脆拒绝了。,彼はあっさりと断った。,He simply refused.,既然事情已经发生了，那我们干脆接受现实，积极寻找解决办法。,事がすでに起こったのだから、いっそ現実を受け入れて積極的に解決策を探そう。
305,干燥,gān zào,"to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid",乾燥,空气非常干燥。,空気は非常に乾燥している。,The air is very dry.,冬天的空气非常干燥，容易导致皮肤干裂和不适。,冬の空気は非常に乾燥しており、肌のひび割れや不快感を引き起こしやすい。
306,感激,gǎn jī,to express thanks; grateful; moved to gratitude,感謝,我感激你的帮助。,あなたの助けに感謝します。,I appreciate your help.,我非常感激老师在我困难时期给予的无私帮助和支持。,困難な時期に先生が無私の助けと支援をくださったことにとても感謝している。
307,感受,gǎn shòu,to sense; perception; to feel (through the senses); a feeling; an impression; an experience,感覚,她感受到了温暖。,彼女は温かさを感じた。,She felt warmth.,通过这次旅行，我深刻感受到了大自然的壮丽和生命的美好。,この旅行を通じて、自然の壮大さと生命の素晴らしさを深く感じた。
308,感想,gǎn xiǎng,"impressions; reflections; thoughts; CL:通[tong4] ,个",感想,请写下你的感想。,あなたの感想を書いてください。,Please write down your thoughts.,读完这本书后，我有很多感想，尤其是对人生意义的思考。,この本を読み終えた後、多くの感想があり、とくに人生の意味について考えさせられた。
309,赶紧,gǎn jǐn,to hurry up; hurriedly,急いで,我们赶紧出发吧。,私たちは急いで出発しよう。,Let's set off quickly.,听到紧急通知后，大家都赶紧收拾东西准备撤离。,緊急通知を聞くと、みんなすぐに荷物をまとめて避難の準備をした。
310,赶快,gǎn kuài,immediately; at once;,すぐに,赶快完成任务。,急いで任務を終わらせて。,Finish the task quickly.,时间紧迫，我们只能赶快完成任务，不能耽误任何时间。,時間が迫っているため、私たちは急いで任務を終わらせなければならず、一秒も無駄にできない。
311,干活儿,gàn huó r,to work manually; manual labor,仕事する,他在干活儿呢。,彼は仕事をしているところだ。,He is working.,农民们在田里辛苦干活儿，确保庄稼能够顺利生长。,農民たちは畑で一生懸命働き、作物が順調に育つようにしている。
312,钢铁,gāng tiě,steel; strong; firm; staunch,鋼鉄,这架桥用钢铁建。,この橋は鉄鋼で建てられている。,This bridge is built with steel.,这座城市因拥有大量的钢铁工业而闻名全国。,この都市は大量の鉄鋼産業を持つことで全国に知られている。
313,高档,gāo dàng,superior quality; high grade; top grade,高級,她买了高档衣服。,彼女は高級な服を買った。,She bought high-end clothes.,这家高档餐厅的菜品不仅美味，服务也非常周到。,この高級レストランの料理は美味しいだけでなく、サービスも非常に行き届いている。
314,高级,gāo jí,high level; high grade; advanced; high-ranking,上級,他是高级工程师。,彼は上級エンジニアだ。,He is a senior engineer.,他在公司的职位很高级，负责管理整个项目的进展。,彼は会社で高い地位にあり、プロジェクト全体の進行を管理している。
315,搞,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of,やる,你搞什么计划？,君はどんな計画を立てているの？,What kind of plan are you making?,为了完成任务，我们必须认真搞好每一个细节，不能马虎。,任務を完遂するために、私たちは一つ一つの細部をしっかりやらなければならず、いい加減にしてはいけない。
316,告别,gào bié,to leave; to bid farewell to; to say good-bye to,別れ,他们告别了朋友。,彼らは友達と別れた。,They said goodbye to their friends.,在机场与朋友告别时，我感到心里十分不舍和难过。,空港で友達と別れるとき、心の中がとても名残惜しく悲しかった。
317,格外,gé wài,especially; particularly,特別に,今天格外冷。,今日は特に寒い。,Today is especially cold.,这次考试结果格外重要，关系到学生的升学和未来发展。,今回の試験結果は特に重要で、学生の進学や将来の発展に関わっている。
318,隔壁,gé bì,next door; neighbor,隣,隔壁住着老师。,隣には先生が住んでいる。,A teacher lives next door.,隔壁的新邻居非常友好，经常主动打招呼和帮助我们。,隣の新しい隣人はとても親切で、よく進んで挨拶したり助けてくれたりする。
319,个别,gè bié,individual; specific; respective; just one or two,個別,个别情况要处理。,個別の状況は対応が必要だ。,Individual cases need to be handled.,个别学生的表现不太理想，需要老师进行特别辅导。,一部の学生の成績があまり良くなく、先生の特別指導が必要だ。
320,个人,gè rén,individual; personal; oneself,個人,个人意见很重要。,個人の意見はとても重要だ。,Personal opinions are very important.,每个人都有自己的优点和缺点，应该互相尊重和理解。,それぞれの人には長所と短所があり、互いに尊重し理解すべきだ。
321,个性,gè xìng,individuality; personality,個性,她有独特个性。,彼女は独特な個性を持っている。,She has a unique personality.,他的个性开朗，善于与人沟通，深受大家喜爱。,彼は明るい性格で、人とコミュニケーションを取るのが得意で、みんなに好かれている。
322,各自,gè zì,each; respective; apiece,それぞれ,大家各自努力。,みんなそれぞれ努力している。,Everyone is making efforts individually.,在团队合作中，每个人都应该发挥各自的优势，共同完成任务。,チームワークの中で、各自がそれぞれの強みを発揮し、共に任務を完成させるべきだ。
323,根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:条[tiao2]; radical (chemistry)",根,树的根很深。,木の根はとても深い。,The tree's roots are very deep.,这根绳子很结实，可以用来固定重物，保证安全。,この一本のロープはとても丈夫で、重いものを固定して安全を確保できる。
324,根本,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all; CL:个,基本,问题根本没解决。,問題は全く解決していない。,The problem has not been solved at all.,问题的根本原因在于缺乏有效的沟通和协调。,問題の根本原因は効果的なコミュニケーションと調整の欠如にある。
325,公布,gōng bù,to announce; to make public; to publish,発表,公司公布新政策。,会社は新しい方針を発表した。,The company announced a new policy.,政府已经正式公布了新的环保政策，鼓励大家积极参与。,政府は正式に新しい環境保護政策を発表し、みんなの積極的な参加を促している。
326,公开,gōng kāi,public; to publish; to make public,公開,结果已公开发布。,結果はすでに公開された。,The results have been publicly released.,公司决定公开招聘，欢迎有能力的人才加入我们的团队。,会社は公開採用を決定し、有能な人材のチーム参加を歓迎している。
327,公平,gōng píng,fair; impartial,公平,比赛很公平公正。,試合はとても公平で公正だ。,The competition is very fair and just.,在处理纠纷时，法官必须保持公公平，确保正义得到实现。,紛争を処理する際、裁判官は公平を保ち、正義が実現されるようにしなければならない。
328,公寓,gōng yù,apartment building; block of flats; CL:套[tao4],マンション,他住在公寓楼。,彼はアパートに住んでいる。,He lives in an apartment building.,他们一家人住在市中心的一栋宽敞明亮的公寓里。,彼ら家族は市の中心にある広くて明るい公寓に住んでいる。
329,公元,gōng yuán,(year) AD; Christian era,西暦,公元2024年。,西暦2024年。,The year 2024 AD.,公元前的历史事件对现代社会的发展有着深远的影响。,紀元前の歴史的な出来事は現代社会の発展に深遠な影響を与えている。
330,公主,gōng zhǔ,princess,王女,她是公主身份。,彼女は王女の身分だ。,She has the status of a princess.,童话故事中的公主通常拥有美丽的外表和善良的心灵。,童話の中のお姫様は普通、美しい外見と優しい心を持っている。
331,功能,gōng néng,function; capability,機能,手机功能很多。,携帯電話は多くの機能がある。,Mobile phones have many functions.,这款智能手机具有多种功能，满足用户日常生活的各种需求。,このスマートフォンは多様な機能を持ち、ユーザーの日常生活の様々なニーズを満たしている。
332,工厂,gōng chǎng,"factory; plant; CL:家[jia1] ,座[zuo4]",工場,工厂生产新产品。,工場は新製品を生産している。,The factory produces new products.,工厂每天生产大量产品，确保市场的供应稳定。,工場は毎日大量の製品を生産し、市場の供給を安定させている。
333,工程师,gōng chéng shī,"engineer; CL:个,位[wei4] ,名[ming2]",技師,工程师设计方案。,エンジニアが設計案を作った。,The engineer designed the plan.,作为一名工程师，他不断学习新技术以提升自己的专业水平。,エンジニアとして、彼は新技術を絶えず学び、自身の専門レベルを向上させている。
334,工具,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),道具,这个工具很实用。,この道具はとても実用的だ。,This tool is very practical.,使用合适的工具可以大大提高工作效率和质量。,適切な工具を使うことで仕事の効率と質が大幅に向上する。
335,工人,gōng rén,"worker; CL:个,名[ming2]",労働者,工人们正在工作。,労働者たちは仕事をしている。,The workers are working.,工人们在工地上辛勤劳动，确保工程按时完成。,労働者たちは現場で一生懸命働き、工事を予定通りに完成させている。
